investigator_name,canonical_front,canonical_back,inv_cycle,published_signatures,deck_count,weighted_total,weighted_kept,weighted_lost,pct_kept,pct_lost,lost_decks_bad_front,lost_decks_bad_back,lost_decks_bad_signature,lost_decks_ambiguous_signature,charlie_faction_split_preserved,allowed_signature_groups
Dexter Drake,07004,07004,8,07012|07013,495,0.9535952934527402,0.5158784131726604,0.4377168802800798,54.1,45.9,0,0,150,82,False,07012;07013
Marie Lambeau,05006,05006,5,05018|05019,343,0.5238695095839151,0.1662585679698694,0.3576109416140457,31.74,68.26,242,0,0,0,False,05018;05019
Norman Withers,08004,08004,9,08005|08006,709,0.8687222219603851,0.550557587308729,0.3181646346516561,63.38,36.62,0,0,382,2,False,08005;08006
Gloria Goldberg,11014,11014,12,11015|11016,227,0.3995616694738695,0.14012061813175225,0.25944105134211726,35.07,64.93,0,0,153,1,False,11015;11016
Roland Banks,01001,01001,1,01006|01007,2686,2.1237110253277223,1.8950969055878106,0.22861411973991164,89.24,10.76,0,0,115,36,False,01006;01007
Silas Marsh,98013,98013,,07014|07015|07016,236,0.2147902073086046,0.009996112025417635,0.20479409528318696,4.65,95.35,0,0,234,0,False,07014;07015;07016
"""Ashcan"" Pete",90046,90046,,02014|02015,46,0.1853630510067196,0.004548765756218266,0.18081428525050133,2.45,97.55,0,0,24,21,False,02014;02015
Jenny Barnes,02003,02003,2,02010|02011,2278,1.6424323859409848,1.4715385241989805,0.17089386174200438,89.6,10.4,0,0,76,41,False,02010;02011
Carolyn Fern,05001,05001,5,05007|05008,866,1.2206073182545063,1.0499662383892012,0.17064107986530508,86.02,13.98,0,0,138,32,False,05007;05008
Daisy Walker,01002,01002,1,01008|01009,1979,2.176985207692809,2.0250145141867857,0.1519706935060232,93.02,6.98,0,0,69,8,False,01008;01009
Roland Banks,90024,90024,,01006|01007,68,0.2535782187724316,0.10769932075048715,0.14587889802194443,42.47,57.53,0,0,34,6,False,01006;01007
Agnes Baker,90017,90017,,01012|01013,78,0.32700261289688887,0.1946557407888594,0.13234687210802948,59.53,40.47,0,0,35,1,False,01012;01013
Silas Marsh,07005,07005,8,07014|07015|07016,302,0.5906662834221935,0.4790607550341892,0.1116055283880043,81.11,18.89,0,0,32,32,False,07014;07015;07016
Wendy Adams,01005,01005,1,01014|01015,902,1.0452152672909887,0.9337787635360025,0.11143650375498615,89.34,10.66,0,0,28,6,False,01014;01015
Jim Culver,90049,90049,,02012|02013|,21,0.10578855111728261,0.0,0.10578855111728261,0.0,100.0,0,0,15,6,False,02012;02013;
"""Skids"" O'Toole",90008,90008,,01010|01011,145,0.2852467556442938,0.18164931882075816,0.10359743682353564,63.68,36.32,0,0,74,0,False,01010;01011
Father Mateo,90081,04004,,04013|04014,39,0.12550380274590667,0.047730568584784035,0.07777323416112264,38.03,61.97,0,0,23,0,False,04013;04014
Jenny Barnes,90084,90084,,02010|02011,19,0.0848454346596217,0.0331478975748567,0.051697537084765,39.07,60.93,0,0,15,0,False,02010;02011
Lola Hayes,03006,03006,3,03018|03019,661,1.0079253158992165,0.9616691905521065,0.04625612534710999,95.41,4.59,0,0,0,24,False,03018;03019
Agnes Baker,90017,01004,,01012|01013,32,0.09005517587799373,0.04382594871184081,0.04622922716615292,48.67,51.33,0,0,10,0,False,01012;01013
Zoey Samaras,90059,90059,,02006|02007,74,0.16442250786238147,0.12094378226951055,0.043478725592870915,73.56,26.44,0,0,16,0,False,02006;02007
Roland Banks,01001,90024,1,01006|01007,25,0.0574743839577562,0.0172719396868082,0.040202444270948,30.05,69.95,0,0,19,1,False,01006;01007
"""Ashcan"" Pete",02005,02005,2,02014|02015,1010,1.2228299732792143,1.1867659241935973,0.036064049085617,97.05,2.95,0,0,0,37,False,02014;02015
Daisy Walker,01002,90001,1,01008|01009,22,0.0628734504345651,0.02957910223411247,0.033294348200452635,47.05,52.95,0,0,6,0,False,01008;01009
Daisy Walker,90001,90001,,01008|01009,30,0.08989871424503561,0.059573264527140506,0.030325449717895102,66.27,33.73,0,0,12,0,False,01008;01009
Father Mateo,90081,90081,,04013|04014,20,0.07603423514714593,0.04642117336863093,0.029613061778515,61.05,38.95,0,0,10,0,False,04013;04014
Wendy Adams,90037,90037,,01014|01015,45,0.07076971987400328,0.04419997132637872,0.02656974854762456,62.46,37.54,0,0,23,0,False,01014;01015
