Investigator,Pack,Card_Code,Card,Index,Score,Mean,Slot,Faction,Decks,Recent Decks
"""Ashcan"" Pete",10-dwl,02014,Duke: Loyal Hound,1,0.999055992123718,0.9989234489151844,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01090,Perception,1,0.9923048832203852,0.6761059563515707,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01090,Perception,2,0.9904923068192987,0.6332582159266497,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",20-ptc,03039,Resourceful,1,0.9899021221104378,0.6012787560543558,,Survivor,34.17642024417938,21.800012881815476
"""Ashcan"" Pete",20-ptc,03039,Resourceful,2,0.9891374342208256,0.5888027810926756,,Survivor,34.17642024417938,21.800012881815476
"""Ashcan"" Pete",00-core,01080,Lucky!,1,0.9886705176157223,0.6243302290396602,,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01080,Lucky!,2,0.9874527154670948,0.6015021067190645,,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01091,Overpower,1,0.9829723469046732,0.5700321124150322,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",33-hote,04201,Take Heart,1,0.9782719058823873,0.49896328596684597,,Survivor,34.032802115080024,21.800012881815476
"""Ashcan"" Pete",00-core,01091,Overpower,2,0.9756175287227395,0.4924633076752679,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",14-uau,02234,Dark Horse,1,0.9682619053824354,0.4584570830017902,,Survivor,34.18777918583034,21.800012881815476
"""Ashcan"" Pete",40-tcu,05036,Track Shoes,1,0.9636667560176421,0.4215713180636943,,Survivor,33.90539681163102,21.800012881815476
"""Ashcan"" Pete",33-hote,04201,Take Heart,2,0.9636253046860497,0.3994000880238131,,Survivor,34.032802115080024,21.800012881815476
"""Ashcan"" Pete",53-dsm,06203,Moonstone,1,0.9612817402189264,0.4123097513588997,Accessory,Survivor,33.30426653981768,21.800012881815476
"""Ashcan"" Pete",00-core,01088,Emergency Cache,1,0.9581210711657333,0.3994048487160604,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",100-fhvp,10116,Long Shot,1,0.9572535298450052,0.75,,Survivor,4.800012881815477,21.800012881815476
"""Ashcan"" Pete",100-fhvp,10116,Long Shot,2,0.9572535298450052,0.75,,Survivor,4.800012881815477,21.800012881815476
"""Ashcan"" Pete",00-core,01093,Unexpected Courage,1,0.957194525210435,0.394194730403733,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01093,Unexpected Courage,2,0.956770592111387,0.391528575921799,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",100-fhvp,10023,Wolf Mask: The Moon's Sire,1,0.9564841189664578,0.75,,Guardian,4.800012881815477,21.800012881815476
"""Ashcan"" Pete",60-ste,60513,A Test of Will,1,0.9524850284979411,0.35340746354251334,,Survivor,31.93552133845176,21.800012881815476
"""Ashcan"" Pete",80-eoep,08125,In the Thick of It,1,0.9517561032907159,0.3669553367268934,,Neutral,27.805820466842118,21.800012881815476
"""Ashcan"" Pete",00-core,01088,Emergency Cache,2,0.9511031244332324,0.36770109768371817,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",90-tskp,09099,Pocket Multi Tool,1,0.9488976138136769,0.37614671444960096,Hand,Survivor,21.800012881815476,21.800012881815476
"""Ashcan"" Pete",52-tsh,06165,Scrounge for Supplies,1,0.9479580457174159,0.33339138198071666,,Survivor,33.60367955261648,21.800012881815476
"""Ashcan"" Pete",52-tsh,06165,Scrounge for Supplies,2,0.9464257117243132,0.3257541312786242,,Survivor,33.60367955261648,21.800012881815476
"""Ashcan"" Pete",53-dsm,06203,Moonstone,2,0.9451779078070212,0.3360977060275566,Accessory,Survivor,33.30426653981768,21.800012881815476
"""Ashcan"" Pete",54-pnr,06245,A Glimmer of Hope,1,0.9430848123430422,0.33076624016677847,,Survivor,32.79098708930546,21.800012881815476
"""Ashcan"" Pete",54-pnr,06245,A Glimmer of Hope,2,0.9430848123430422,0.33076624016677847,,Survivor,32.79098708930546,21.800012881815476
"""Ashcan"" Pete",00-core,01089,Guts,1,0.9385734696132616,0.3335934790140223,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",10-dwl,02033,Peter Sylvestre: Big Man on Campus,1,0.9335999428737941,0.3181007788563225,Ally,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",54-pnr,06245,A Glimmer of Hope,3,0.9334396853942708,0.3002700554292918,,Survivor,32.79098708930546,21.800012881815476
"""Ashcan"" Pete",10-dwl,02032,Fire Axe,1,0.9299246506068704,0.32562491264976007,Hand,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",80-eoep,08071,Short Supply,1,0.927839721786121,0.28055892785719727,,Survivor,27.805820466842118,21.800012881815476
"""Ashcan"" Pete",00-core,01089,Guts,2,0.9240082495487996,0.2873160730675558,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",14-uau,02234,Dark Horse,2,0.9238507441627761,0.29947804855985755,,Survivor,34.18777918583034,21.800012881815476
"""Ashcan"" Pete",10-dwl,02033,Peter Sylvestre: Big Man on Campus,2,0.9231536178893567,0.2797736967550943,Ally,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",10-dwl,02032,Fire Axe,2,0.9173156219933902,0.28405571256233325,Hand,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",23-apot,03198,Madame Labranche: Mysterious Benefactress,1,0.9149789270360745,0.2715006090715955,Ally,Survivor,34.16150260298505,21.800012881815476
"""Ashcan"" Pete",00-core,01092,Manual Dexterity,1,0.9149325244458367,0.2547500998751245,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01092,Manual Dexterity,2,0.9097566474131071,0.23921958809975497,,Neutral,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",23-apot,03198,Madame Labranche: Mysterious Benefactress,2,0.9062108365323437,0.245396570946447,Ally,Survivor,34.16150260298505,21.800012881815476
"""Ashcan"" Pete",21-eotp,03118,Reckless Assault,1,0.9060193365797011,0.24004556827680537,,Neutral,34.16896142358222,21.800012881815476
"""Ashcan"" Pete",33-hote,04200,Live and Learn,1,0.9059673528408456,0.2581311386264465,,Survivor,34.032802115080024,21.800012881815476
"""Ashcan"" Pete",21-eotp,03117,Desperate Search,1,0.9059407963557563,0.239980046701261,,Neutral,34.16896142358222,21.800012881815476
"""Ashcan"" Pete",21-eotp,03118,Reckless Assault,2,0.9050808452166842,0.2373306982529734,,Neutral,34.16896142358222,21.800012881815476
"""Ashcan"" Pete",60-ste,60513,A Test of Will,2,0.903891383271007,0.24068002054232537,,Survivor,31.93552133845176,21.800012881815476
"""Ashcan"" Pete",00-core,01079,"""Look what I found!""",1,0.9038719036192486,0.28671676916599076,,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",21-eotp,03117,Desperate Search,2,0.902864004422798,0.23191029194180063,,Neutral,34.16896142358222,21.800012881815476
"""Ashcan"" Pete",90-tskp,09099,Pocket Multi Tool,2,0.8984022405113276,0.2385321168682181,Hand,Survivor,21.800012881815476,21.800012881815476
"""Ashcan"" Pete",90-tskp,09104,End of the Road,1,0.8975464008175097,0.2385321168682181,,Survivor,21.800012881815476,21.800012881815476
"""Ashcan"" Pete",00-core,01079,"""Look what I found!""",2,0.894523484805279,0.25859765262923606,,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",00-core,01072,Leather Coat,1,0.8940223674936143,0.23142017951903737,Body,Survivor,34.199769179795226,21.800012881815476
"""Ashcan"" Pete",21-eotp,03119,Run For Your Life,1,0.8730085417741026,0.1866890401311015,,Neutral,34.16896142358222,21.800012881815476
"""Ashcan"" Pete",33-hote,04200,Live and Learn,2,0.868614044140542,0.2050851776211035,,Survivor,34.032802115080024,21.800012881815476
