rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,11009,1,,Ocula Obscura,Esoteric Eyepiece,12,Accessory,1.0,True,1
2,11010,1,,Glimpse the Void,,12,,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,0.9158184265412301,False,0
4,11067,1,,Eyes of the Dreamer,,12,Arcane,0.7437599696362218,True,2
5,11067,2,,Eyes of the Dreamer,,12,Arcane,0.6696426125892295,True,2
6,06117,1,,Read the Signs,,6,,0.641807570490762,True,2
7,60416,1,,Voice of Ra,,7,,0.6105757939061524,True,2
8,06117,2,,Read the Signs,,6,,0.5904091188545489,True,2
9,60416,2,,Voice of Ra,,7,,0.5851293192534598,True,2
10,01065,1,,Ward of Protection,,1,,0.5370013459767659,True,2
11,01065,2,,Ward of Protection,,1,,0.494910559247381,True,2
12,01064,1,,Drawn to the Flame,,1,,0.47389119605382607,True,2
13,01064,2,,Drawn to the Flame,,1,,0.47389119605382607,True,2
14,11040,1,,Correlate All Its Contents,,12,,0.44128104363749726,True,2
15,11040,2,,Correlate All Its Contents,,12,,0.44128104363749726,True,2
16,11069,1,,Katarina Sojka,Emissary from Ulthar,12,Ally,0.4327066673796764,True,2
17,11071,1,,Spectral Shield,,12,,0.41339866936740827,True,2
18,01089,1,,Guts,,1,,0.41072898578861117,True,2
19,01089,2,,Guts,,1,,0.41072898578861117,True,2
20,04199,1,,Premonition,,4,,0.40620704677066827,True,2
21,04199,2,,Premonition,,4,,0.40620704677066827,True,2
22,11069,2,,Katarina Sojka,Emissary from Ulthar,12,Ally,0.4003179849302794,True,2
23,06201,1,,Spectral Razor,,6,,0.3910900609263959,True,2
24,09088,1,,String of Curses,,10,,0.3808692246581488,True,2
25,09088,2,,String of Curses,,10,,0.3808692246581488,True,2
26,06201,2,,Spectral Razor,,6,,0.35455170585167295,True,2
27,07023,1,,Deep Knowledge,,8,,0.3412674575762127,True,2
28,11071,2,,Spectral Shield,,12,,0.33928131232041614,True,2
29,04030,1,,The Chthonian Stone,Stygian Waymark,4,Hand,0.3387962956008382,True,2
30,11066,1,,Breath of the Sleeper,,12,Arcane,0.31538614039595525,True,2
31,07023,2,,Deep Knowledge,,8,,0.29711668418681486,True,2
32,04197,1,,Olive McBride,Will Try Anything Once,4,Ally,0.2793321265744823,True,1
33,11066,2,,Breath of the Sleeper,,12,Arcane,0.27722273161837113,True,2
34,03033,1,,Uncage the Soul,,3,,0.2666446572025971,True,1
35,01090,1,,Perception,,1,,0.2634372624069015,False,0
36,11037,1,,Mortar and Pestle,,12,,0.2599455069303237,False,0
37,01039,1,,Deduction,,1,,0.24797534075120906,False,0
38,01039,2,,Deduction,,1,,0.24797534075120906,False,0
39,11068a,1,,The Great Work,Divide and Unite,12,,0.23672073801719828,False,0
40,60412,1,,Robes of Endless Night,,7,Body,0.2365998552686973,False,0
41,03231,1,,Eureka!,,3,,0.22552364183265472,False,0
42,10094,1,,Drain Essence,,11,,0.22313034951103974,False,0
43,01090,2,,Perception,,1,,0.2213464756775166,False,0
44,02022,1,,Shortcut,,2,,0.2160141946682689,False,0
45,11037,2,,Mortar and Pestle,,12,,0.21294425612003606,False,0
46,60214,1,,Burning the Midnight Oil,,7,,0.20956867442047053,False,0
47,04030,2,,The Chthonian Stone,Stygian Waymark,4,Hand,0.20816590180187622,True,2
48,01037,1,,Working a Hunch,,1,,0.2002750521416866,False,0
49,01037,2,,Working a Hunch,,1,,0.2002750521416866,False,0
50,04197,2,,Olive McBride,Will Try Anything Once,4,Ally,0.19599065638167631,False,1
51,60411,1,,Crystal Pendulum,,7,Accessory,0.19210942763580527,True,1
52,05154,1,,Hawk-Eye Folding Camera,,5,Hand,0.1910752223701261,True,1
53,05154,2,,Hawk-Eye Folding Camera,,5,Hand,0.1910752223701261,False,1
54,03033,2,,Uncage the Soul,,3,,0.18819314527469033,False,1
55,60214,2,,Burning the Midnight Oil,,7,,0.184122199767778,False,0
56,03231,2,,Eureka!,,3,,0.18238509225633692,False,0
57,11072,1,,Whispers of Doom,,12,,0.17902597224740222,False,0
58,04109,1,,Arcane Research,,4,,0.1780995801380512,False,0
59,10094,2,,Drain Essence,,11,,0.17772827475976669,False,0
60,02022,2,,Shortcut,,2,,0.1743006660812136,False,0
61,07032,1,,Promise of Power,,8,,0.17283000450518096,False,0
62,07032,2,,Promise of Power,,8,,0.17283000450518096,False,0
63,01059,1,,Holy Rosary,,1,Accessory,0.1665594729758017,False,0
64,11070,1,,Sign of Xelotaph,Symbol of Protection,12,Arcane,0.16072031803710174,True,1
