rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,01012,1,,Heirloom of Hyperborea,Artifact from Another Life,1,Accessory,0.9864548260480919,True,1
2,01013,1,,Dark Memory,,1,,0.9864548260480919,True,1
3,01060,1,,Shrivelling,,1,Arcane,0.8099315071305515,True,2
4,01000,1,,Random Basic Weakness,,1,,0.7354834198618234,False,0
5,01060,2,,Shrivelling,,1,Arcane,0.7111769095652719,True,2
6,01065,1,,Ward of Protection,,1,,0.6913842730554475,True,2
7,01058,1,,Forbidden Knowledge,,1,,0.6606933153766458,True,2
8,01065,2,,Ward of Protection,,1,,0.616413933868673,True,2
9,01067,1,,Fearless,,1,,0.6145721376463341,True,2
10,01059,1,,Holy Rosary,,1,Accessory,0.59347322562382,True,2
11,01058,2,,Forbidden Knowledge,,1,,0.5443465279431836,True,2
12,01067,2,,Fearless,,1,,0.5299461183035682,True,2
13,01080,1,,Lucky!,,1,,0.46639299906814374,True,2
14,10111,1,,Sparrow Mask,The Wanderer's Companion,11,Mask,0.4604762631120991,True,1
15,02033,1,,Peter Sylvestre,Big Man on Campus,2,Ally,0.43318192431765656,True,2
16,01059,2,,Holy Rosary,,1,Accessory,0.42777159810081145,True,2
17,03033,1,,Uncage the Soul,,3,,0.4176200248293499,True,2
18,01089,1,,Guts,,1,,0.4174063006554935,True,2
19,01080,2,,Lucky!,,1,,0.4081773139623273,True,2
20,01064,1,,Drawn to the Flame,,1,,0.40254764350955224,True,2
21,02033,2,,Peter Sylvestre,Big Man on Campus,2,Ally,0.39929346712514796,True,2
22,01089,2,,Guts,,1,,0.3865771772595381,True,2
23,01063,1,,Arcane Initiate,,1,Ally,0.377606040439448,True,1
24,03033,2,,Uncage the Soul,,3,,0.36395027106296557,True,2
25,02028,1,,Rite of Seeking,,2,Arcane,0.3428397573995567,True,1
26,01088,1,,Emergency Cache,,1,,0.3215658920521648,True,1
27,01064,2,,Drawn to the Flame,,1,,0.31919405367175113,True,2
28,01093,1,,Unexpected Courage,,1,,0.3130189877131463,True,1
29,05032,1,,Deny Existence,,5,,0.30183635834327327,True,1
30,02117,1,,Painkillers,,2,,0.2901054576727631,True,1
31,01063,2,,Arcane Initiate,,1,Ally,0.2673348444220813,False,1
32,06201,1,,Spectral Razor,,6,,0.266417499088343,False,0
33,10111,2,,Sparrow Mask,The Wanderer's Companion,11,Mask,0.2626604397947404,False,1
34,01088,2,,Emergency Cache,,1,,0.2521315811226387,False,1
35,01093,2,,Unexpected Courage,,1,,0.2514971080686106,False,1
36,60408,1,,Clairvoyance,,7,Arcane,0.2371308088480791,True,1
37,02028,2,,Rite of Seeking,,2,Arcane,0.23678561958643213,False,1
38,04109,1,,Arcane Research,,4,,0.23382750174458117,False,0
39,07029,1,,Sword Cane,,8,Hand,0.23014467414071393,True,1
40,05158,1,,Sixth Sense,,5,Arcane,0.229941788993152,False,0
41,11066,1,,Breath of the Sleeper,,12,Arcane,0.2274285782589839,False,0
42,06201,2,,Spectral Razor,,6,,0.21852616444658968,False,0
43,05032,2,,Deny Existence,,5,,0.21848903622577515,False,1
44,06117,1,,Read the Signs,,6,,0.21131861447236355,False,0
45,60408,2,,Clairvoyance,,7,Arcane,0.1999191008153012,False,1
46,08059,1,,Down the Rabbit Hole,,9,,0.1991933566088366,False,0
47,01072,1,,Leather Coat,,1,Body,0.1966669986393424,False,0
48,04109,2,,Arcane Research,,4,,0.1915252917015685,False,0
49,60412,1,,Robes of Endless Night,,7,Body,0.1802510989329931,False,0
50,02117,2,,Painkillers,,2,,0.1751547789223394,False,1
51,01079,1,,"""Look what I found!""",,1,,0.1745900138562964,False,0
52,03153,1,,Storm of Spirits,,3,,0.1714719744651803,False,0
53,05158,2,,Sixth Sense,,5,Arcane,0.16771414092241768,False,0
54,60407,1,,Azure Flame,,7,Arcane,0.16538214841480933,False,0
55,11068a,1,,The Great Work,Divide and Unite,12,,0.15860620629554276,False,0
56,60513,1,,A Test of Will,,7,,0.15742608384363385,False,0
57,06117,2,,Read the Signs,,6,,0.15110462362484625,False,0
58,05157,1,,Wither,,5,Arcane,0.1486969565743851,False,0
59,08125,1,,In the Thick of It,,9,,0.1440870086891665,False,0
60,01066,1,,Blinding Light,,1,,0.14403295438678468,False,0
61,02111,1,,Delve Too Deep,,2,,0.143006148150956,False,0
62,11067,1,,Eyes of the Dreamer,,12,Arcane,0.14044474702741244,False,0
63,60416,1,,Voice of Ra,,7,,0.13967625815921336,False,0
64,05112,1,,Sign Magick,,5,Hand,0.13875610996649693,True,1
