rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,03014,1,,Spirit-Speaker,Envoy of the Alusi,3,,45.61142856209938,45.61142856209938,1.0,True,1
2,03015,1,,Angered Spirits,,3,,45.61142856209938,45.61142856209938,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,45.02564914439164,34.86267949548146,0.7742848833490705,False,0
4,03033,1,,Uncage the Soul,,3,,45.61142856209938,34.169581885681005,0.7491451805584111,True,2
5,03033,2,,Uncage the Soul,,3,,45.61142856209938,30.397159467627393,0.6664373475222783,True,2
6,01065,1,,Ward of Protection,,1,,45.02564914439164,29.280089856127354,0.6502980059705471,True,2
7,11071,1,,Spectral Shield,,12,,10.997183205571023,6.79875663214445,0.6182270955257245,True,2
8,01063,1,,Arcane Initiate,,1,Ally,45.02564914439164,27.616830806472738,0.6133577490001089,True,2
9,01059,1,,Holy Rosary,,1,Accessory,45.02564914439164,26.981029480850623,0.5992368792802037,True,2
10,01089,1,,Guts,,1,,45.02564914439164,26.642020212171435,0.5917076315042965,True,2
11,01060,1,,Shrivelling,,1,Arcane,45.02564914439164,26.214682335132135,0.582216643919223,True,2
12,01065,2,,Ward of Protection,,1,,45.02564914439164,25.551670225115302,0.5674914345637591,True,2
13,11071,2,,Spectral Shield,,12,,10.997183205571023,6.116938450326268,0.5562277481407704,True,2
14,11067,1,,Eyes of the Dreamer,,12,Arcane,10.997183205571023,5.815365023752841,0.5288049598743483,True,2
15,01089,2,,Guts,,1,,45.02564914439164,22.62464084935387,0.5024833906736018,True,2
16,01060,2,,Shrivelling,,1,Arcane,45.02564914439164,22.245103907650854,0.49405404098258704,True,2
17,01063,2,,Arcane Initiate,,1,Ally,45.02564914439164,21.94514042571603,0.4873919830748181,True,2
18,02028,1,,Rite of Seeking,,2,Arcane,47.51276875898447,21.671368299896294,0.4561167211666301,True,2
19,01059,2,,Holy Rosary,,1,Accessory,45.02564914439164,19.556742262025665,0.4343467031271361,True,2
20,11067,2,,Eyes of the Dreamer,,12,Arcane,10.997183205571023,4.753302086689905,0.432229053370862,True,2
21,02028,2,,Rite of Seeking,,2,Arcane,47.51276875898447,18.208685498577516,0.3832377269138694,True,2
22,01093,1,,Unexpected Courage,,1,,45.02564914439164,16.95992484362291,0.3766725225711804,True,2
23,01088,1,,Emergency Cache,,1,,45.02564914439164,16.66181261576926,0.3700515802079145,True,2
24,03032,1,,Alchemical Transmutation,,3,Arcane,45.61142856209938,16.418431202861818,0.3599630996101851,True,1
25,04109,1,,Arcane Research,,4,,47.684358973401984,17.12469071185012,0.359125949903241,True,1
26,10084,1,,Cat Mask,The Capricious Meddler,11,Mask,19.386416863487817,6.737080014083139,0.34751548269715005,True,1
27,01067,1,,Fearless,,1,,45.02564914439164,15.58429334834254,0.34612034794580426,True,1
28,01064,1,,Drawn to the Flame,,1,,45.02564914439164,15.365766951036257,0.341266972115386,True,1
29,08060,1,,Dragon Pole,,9,Hand x2,29.18951241352015,9.700279160218853,0.332320698708411,True,1
30,08060,2,,Dragon Pole,,9,Hand x2,29.18951241352015,9.194559145615237,0.3149952974670606,False,1
31,01093,2,,Unexpected Courage,,1,,45.02564914439164,14.090415203910366,0.31294196689367343,True,2
32,05032,1,,Deny Existence,,5,,43.00232997154663,13.288239139672466,0.309012073263586,True,1
33,60412,1,,Robes of Endless Night,,7,Body,31.09051970997566,9.258813484967297,0.2978018242003374,True,1
34,01088,2,,Emergency Cache,,1,,45.02564914439164,13.365755781943017,0.2968475976677361,True,2
35,10094,1,,Drain Essence,,11,,19.386416863487817,5.651295012626262,0.2915079693385658,False,0
36,03235,1,,Torrent of Power,,3,,45.61142856209938,13.268152331304693,0.29089534683703827,False,0
37,03153,1,,Storm of Spirits,,3,,45.61142856209938,12.96774105164888,0.2843090308823252,False,0
38,06201,1,,Spectral Razor,,6,,42.39965257508516,11.8688840568078,0.2799288045058695,False,0
39,03032,2,,Alchemical Transmutation,,3,Arcane,45.61142856209938,12.423934256819926,0.2723864313941603,False,1
40,02111,1,,Delve Too Deep,,2,,47.51276875898447,12.63877775705244,0.26600802451998756,False,0
41,01064,2,,Drawn to the Flame,,1,,45.02564914439164,11.643765044720649,0.258602935570802,False,1
42,60408,1,,Clairvoyance,,7,Arcane,31.09051970997566,7.758465265057389,0.2495444057362611,False,0
43,04109,2,,Arcane Research,,4,,47.684358973401984,11.887427398197103,0.24929405897702914,False,1
44,60407,1,,Azure Flame,,7,Arcane,31.09051970997566,7.476560102822979,0.2404771670775275,False,0
45,06201,2,,Spectral Razor,,6,,42.39965257508516,10.168929320143423,0.23983520388841295,False,0
46,01067,2,,Fearless,,1,,45.02564914439164,10.73035442360285,0.2383164846594869,False,1
47,03235,2,,Torrent of Power,,3,,45.61142856209938,10.75892728876699,0.23588226959650802,False,0
48,08059,1,,Down the Rabbit Hole,,9,,29.18951241352015,6.185217828551145,0.21189863471944273,False,0
49,60408,2,,Clairvoyance,,7,Arcane,31.09051970997566,6.499900129710355,0.20906373358644134,False,0
50,08125,1,,In the Thick of It,,9,,29.18951241352015,5.997867586452106,0.20548022527686974,False,0
51,10094,2,,Drain Essence,,11,,19.386416863487817,3.9530626893939393,0.20390888719818556,False,0
52,05112,1,,Sign Magick,,5,Hand,43.00232997154663,8.578654504313368,0.19949278353032524,True,1
