rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,08017,1,,Shrewd Dealings,,9,,24.096929413142874,24.096929413142874,1.0,True,1
2,08018,1,,Greed,,9,,24.096929413142874,24.096929413142874,1.0,True,1
3,08072,1,,Schoffner's Catalogue,,9,,24.096929413142874,23.018594999883653,0.9552501318831487,True,2
4,10108,1,,Matchbox,,11,,15.813814740927471,13.04742404177493,0.8250649356607871,True,2
5,08072,2,,Schoffner's Catalogue,,9,,24.096929413142874,19.59606181571509,0.8132182104922906,True,2
6,10108,2,,Matchbox,,11,,15.813814740927471,11.42661307779188,0.7225715783946078,True,2
7,01080,1,,Lucky!,,1,,27.2259779028773,18.381176464857376,0.6751337465426656,True,2
8,04037,1,,Backpack,,4,Body,23.49868755459452,15.818280414237615,0.6731559104093362,True,2
9,01000,1,,Random Basic Weakness,,1,,27.2259779028773,18.09197258201264,0.6645113959377982,False,0
10,01080,2,,Lucky!,,1,,27.2259779028773,16.347278159772628,0.6004294214183217,True,2
11,04037,2,,Backpack,,4,Body,23.49868755459452,13.854108338785814,0.5895694517661274,True,2
12,01088,1,,Emergency Cache,,1,,27.2259779028773,14.728076881255292,0.5409567631985331,True,2
13,11083,1,,Lawrence Carlisle,Sculpting His Dreams,12,Ally,12.0,6.0,0.5,True,2
14,11083,2,,Lawrence Carlisle,Sculpting His Dreams,12,Ally,12.0,6.0,0.5,True,2
15,11084,1,,Nautical Charts,,12,Hand,12.0,6.0,0.5,True,2
16,11084,2,,Nautical Charts,,12,Hand,12.0,6.0,0.5,True,2
17,11087,1,,Unconventional Method,,12,,12.0,6.0,0.5,True,1
18,08073,1,,Bandages,,9,,24.096929413142874,11.197301632089122,0.46467752965993764,True,1
19,60507,1,,Old Keyring,,7,Hand,25.27048736312954,11.452298059546909,0.4531886502614976,True,2
20,05036,1,,Track Shoes,,5,,24.08760889124569,10.673129573869943,0.44309626671782043,True,2
21,01088,2,,Emergency Cache,,1,,27.2259779028773,11.934452327884985,0.4383479767176233,True,2
22,01087,1,,Flashlight,,1,Hand,27.2259779028773,11.867488331698882,0.43588841414745655,True,2
23,10111,1,,Sparrow Mask,The Wanderer's Companion,11,Mask,15.813814740927471,6.88641033717445,0.43546800376710154,True,1
24,01087,2,,Flashlight,,1,Hand,27.2259779028773,11.43452721542395,0.4199859140492259,True,2
25,60507,2,,Old Keyring,,7,Hand,25.27048736312954,10.400005030175766,0.4115474656555184,True,2
26,01075,1,,Rabbit's Foot,,1,Accessory,27.2259779028773,10.604286401495157,0.3894914790324014,True,1
27,01079,1,,"""Look what I found!""",,1,,27.2259779028773,10.074019642336102,0.37001497901280006,True,1
28,07028,1,,Faustian Bargain,,8,,28.40206013442185,9.679522709181919,0.3408035425377764,True,1
29,05036,2,,Track Shoes,,5,,24.08760889124569,8.172098829791064,0.3392656725160089,True,2
30,10069,1,,Bank Job,,11,,15.813814740927471,5.32673595158123,0.3368406699362168,True,1
31,06165,1,,Scrounge for Supplies,,6,,21.323838186489684,6.979512510664597,0.32731032985828334,True,1
32,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,27.2259779028773,8.789604667947248,0.32283889670748406,True,1
33,01072,1,,Leather Coat,,1,Body,27.2259779028773,8.786846865267112,0.32273760364502824,True,1
