rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,01009,1,,The Necronomicon,John Dee Translation,1,Hand,46.64343153368369,42.17500225323201,0.9042002457039467,True,1
2,01008,1,,Daisy's Tote Bag,,1,,46.64343153368369,41.77635106809287,0.8956534649026403,True,1
3,01039,1,,Deduction,,1,,46.64343153368369,37.792731835673564,0.8102476724591207,True,2
4,01000,1,,Random Basic Weakness,,1,,46.64343153368369,36.210903738363534,0.7763344708507076,False,0
5,01031,1,,Old Book of Lore,,1,Hand,46.64343153368369,35.013652492748655,0.7506663069474947,True,2
6,01039,2,,Deduction,,1,,46.64343153368369,33.92481061148295,0.7273223580684463,True,2
7,11068a,1,,The Great Work,Divide and Unite,12,,10.05550537680987,7.100486342700155,0.7061292373305655,True,1
8,01033,1,,Dr. Milan Christopher,Professor of Entomology,1,Ally,46.64343153368369,31.93339740034198,0.6846279604724448,True,2
9,09044,1,,Grim Memoir,,10,Hand,26.865292406428996,17.426693826757372,0.6486694268247414,True,2
10,01065,1,,Ward of Protection,,1,,46.64343153368369,30.048076699392492,0.6442081062945205,True,2
11,01032,1,,Research Librarian,,1,Ally,46.64343153368369,28.006331128372974,0.6004346208564891,True,2
12,01090,1,,Perception,,1,,46.64343153368369,25.955900065563426,0.5564749250238867,True,2
13,01031,2,,Old Book of Lore,,1,Hand,46.64343153368369,25.655096322620718,0.5500259196001438,True,2
14,01065,2,,Ward of Protection,,1,,46.64343153368369,25.56826263604905,0.5481642708381105,True,2
15,09044,2,,Grim Memoir,,10,Hand,26.865292406428996,14.328548369416012,0.5333479402586782,True,2
16,01090,2,,Perception,,1,,46.64343153368369,22.300052282782445,0.4780963053003165,True,2
17,01033,2,,Dr. Milan Christopher,Professor of Entomology,1,Ally,46.64343153368369,20.969767135183655,0.44957599485450117,True,2
18,08125,1,,In the Thick of It,,9,,35.7056367016515,15.279964785994396,0.4279426498866396,True,1
19,01032,2,,Research Librarian,,1,Ally,46.64343153368369,17.43692248655644,0.3738344695750851,True,2
20,01088,1,,Emergency Cache,,1,,46.64343153368369,16.726954384262896,0.3586132888225318,True,2
21,01036,1,,Mind over Matter,,1,,46.64343153368369,16.486471245627264,0.35345751166960154,True,1
22,02022,1,,Shortcut,,2,,48.565897105368336,16.242020568229478,0.33443262734323365,True,2
23,10044,1,,Ravenous Myconid,Unidentified,11,,20.118657983513245,6.660162830843285,0.3310440903315285,True,1
24,60208,1,,Encyclopedia,,7,Hand,36.574484053194034,11.898658381681221,0.3253267596167803,True,1
25,05110,1,,Crack the Case,,5,,42.537345554234044,13.597133343641099,0.3196516652950311,True,2
26,01030,1,,Magnifying Glass,,1,Hand,46.64343153368369,14.30079808686212,0.306598327280761,True,1
27,01088,2,,Emergency Cache,,1,,46.64343153368369,13.952353795098576,0.2991279444142707,True,2
28,02022,2,,Shortcut,,2,,48.565897105368336,13.878547399554243,0.28576734348062005,True,2
29,01035,1,,Medical Texts,,1,Hand,46.64343153368369,13.274732550741772,0.284600255904315,False,0
30,02107,1,,"""I've got a plan!""",,2,,48.565897105368336,13.242854414326,0.2726780560769704,True,1
31,05110,2,,Crack the Case,,5,,42.537345554234044,11.47947912043879,0.2698682527287168,True,2
32,05032,1,,Deny Existence,,5,,42.537345554234044,11.449747514881235,0.2691692997223603,True,1
33,05316,1,,Occult Lexicon,,5,Hand,42.537345554234044,11.055466992234809,0.25990025583846943,False,0
34,10043,1,,Mouse Mask,The Meek Watcher,11,Mask,20.118657983513245,5.011786381310724,0.2491113664449071,True,1
35,07032,1,,Promise of Power,,8,,37.92815089337593,9.070484966589358,0.2391491478740531,True,1
36,01037,1,,Working a Hunch,,1,,46.64343153368369,11.083303357381721,0.23761766647417187,False,0
37,01036,2,,Mind over Matter,,1,,46.64343153368369,11.024855066439356,0.2363645791900565,False,1
38,03025,1,,Archaic Glyphs,Untranslated,3,Hand,52.33344443089978,12.347572722539846,0.23594037917460942,False,0
39,07032,2,,Promise of Power,,8,,37.92815089337593,8.545144548515532,0.2252982111502811,False,1
40,60213,1,,Whitton Greene,Hunter of Rare Books,7,Ally,36.574484053194034,8.12728908883815,0.22221199558188703,False,0
41,02111,1,,Delve Too Deep,,2,,48.565897105368336,10.595283247849911,0.21816302960207729,False,0
42,02107,2,,"""I've got a plan!""",,2,,48.565897105368336,10.35292865449912,0.2131728079075211,False,1
43,05032,2,,Deny Existence,,5,,42.537345554234044,8.999966527102417,0.21157800069183177,False,1
44,60208,2,,Encyclopedia,,7,Hand,36.574484053194034,7.676004319420909,0.20987320855317895,False,1
45,01093,1,,Unexpected Courage,,1,,46.64343153368369,9.650566913769614,0.20690087749655445,False,0
46,06197,1,,Practice Makes Perfect,,6,,37.64430324403031,7.714379509475564,0.2049282054569285,False,0
47,04157,1,,Enraptured,,4,,51.957118639675286,10.368014452263546,0.19954945007951932,False,0
48,60215,1,,Cryptic Writings,,7,,36.574484053194034,6.835796068249348,0.1869006835012996,False,0
49,60214,1,,Burning the Midnight Oil,,7,,36.574484053194034,6.732670125467273,0.18408106907742727,False,0
50,01030,2,,Magnifying Glass,,1,Hand,46.64343153368369,8.560912090238757,0.18353949974835085,False,1
51,04157,2,,Enraptured,,4,,51.957118639675286,9.515064652606497,0.18313303165623665,False,0
52,06023,1,,Astounding Revelation,,6,,37.64430324403031,6.830489664593577,0.1814481628286417,False,0
53,02227,1,,Inquiring Mind,,2,,48.565897105368336,8.725041946041877,0.17965367605816213,False,0
54,03025,2,,Archaic Glyphs,Untranslated,3,Hand,52.33344443089978,9.341048421261284,0.17849099219133285,False,0
55,06197,2,,Practice Makes Perfect,,6,,37.64430324403031,6.695567701198379,0.17786403583549318,False,0
56,03269,1,,St. Hubert's Key,Cleansing Fire,3,Accessory,52.33344443089978,9.22740245435457,0.1763194178158535,True,1
57,01089,1,,Guts,,1,,46.64343153368369,8.09834440173519,0.17362239731197623,False,0
58,06023,2,,Astounding Revelation,,6,,37.64430324403031,6.429053498736476,0.1707842341259432,False,0
59,02111,2,,Delve Too Deep,,2,,48.565897105368336,8.228532541809402,0.16943025934344047,False,0
60,01037,2,,Working a Hunch,,1,,46.64343153368369,7.872355495261318,0.1687773655670311,False,0
61,10049,1,,"""Throw the Book at Them!""",,11,,20.118657983513245,3.3675768520959606,0.167385759768649,False,0
62,01093,2,,Unexpected Courage,,1,,46.64343153368369,7.523676516178802,0.16130195118139104,False,0
63,03231,1,,Eureka!,,3,,52.33344443089978,8.428533502596414,0.1610544384045906,False,0
64,01059,1,,Holy Rosary,,1,Accessory,46.64343153368369,7.433106540683787,0.1593601992022381,False,0
65,60215,2,,Cryptic Writings,,7,,36.574484053194034,5.774959334655996,0.15789585237229536,False,0
66,03191,1,,Logical Reasoning,,3,,52.33344443089978,8.167718220877353,0.15607071748663273,False,0
67,60214,2,,Burning the Midnight Oil,,7,,36.574484053194034,5.5793313001269835,0.15254709518287088,False,0
68,06023,3,,Astounding Revelation,,6,,37.64430324403031,5.717268816976667,0.15187606953206975,False,0
69,03158,1,,Calling in Favors,,3,,52.33344443089978,7.76863385162691,0.14844491770237836,False,0
70,05116,1,,Scroll of Secrets,,5,Hand,42.537345554234044,6.00034695535484,0.14106068155344928,False,0
71,06116,1,,Scroll of Prophecies,,6,Hand,37.64430324403031,5.289932972405781,0.140524130254547,False,0
72,02227,2,,Inquiring Mind,,2,,48.565897105368336,6.764081929281163,0.13927637153712705,False,0
73,03231,2,,Eureka!,,3,,52.33344443089978,7.001126489250892,0.13377920305809538,False,0
74,90003,1,,The Necronomicon,John Dee Translation,,Hand,59.764596002361216,7.974570218494842,0.1334330147263068,False,0
