rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,08002,1,,Mechanic's Wrench,,9,Hand,29.26362369631268,29.26362369631268,1.0,True,1
2,08003,1,,Mob Goons,,9,,29.26362369631268,29.26362369631268,1.0,True,1
3,11021,1,,Crowbar,,12,Hand,11.883184823970044,10.98430841947566,0.9243572815024113,True,2
4,11021,2,,Crowbar,,12,Hand,11.883184823970044,10.98430841947566,0.9243572815024113,True,2
5,01000,1,,Random Basic Weakness,,1,,30.692693484185103,23.525761837577836,0.7664938839499328,False,0
6,08020,1,,Toe to Toe,,9,,29.26362369631268,18.720389372564778,0.6397153533286998,True,2
7,01021,1,,Guard Dog,,1,Ally,30.692693484185103,19.13868009338622,0.6235581801658342,True,2
8,01021,2,,Guard Dog,,1,Ally,30.692693484185103,17.1353942398822,0.5582890354250428,True,2
9,08020,2,,Toe to Toe,,9,,29.26362369631268,16.131318110594613,0.5512413048363254,True,2
10,01025,1,,Vicious Blow,,1,,30.692693484185103,16.541971045960565,0.5389546881730689,True,2
11,01025,2,,Vicious Blow,,1,,30.692693484185103,16.141511788607364,0.5259073074484171,True,2
12,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,17.51830901704371,8.364061649192381,0.47744686094159633,True,1
13,01088,1,,Emergency Cache,,1,,30.692693484185103,14.121174772199105,0.4600826180170621,True,2
14,01023,1,,Dodge,,1,,30.692693484185103,13.32425755675508,0.43411822307548914,True,2
15,08021,1,,"""Get behind me!""",,9,,29.26362369631268,12.283476514415618,0.41975240803699165,True,2
16,01088,2,,Emergency Cache,,1,,30.692693484185103,12.119143539271738,0.39485435012460923,True,2
17,60106,1,,Flesh Ward,,7,Arcane,24.024503991473615,9.28735288010693,0.38657834032299043,True,2
18,01023,2,,Dodge,,1,,30.692693484185103,11.660659351482618,0.3799164565824423,True,2
19,60106,2,,Flesh Ward,,7,Arcane,24.024503991473615,8.740932920458938,0.36383406390246925,True,2
20,05313,1,,Hallowed Mirror,,5,Accessory,32.65335113652633,11.523153714203493,0.3528934493131883,True,1
21,04017,1,,Survival Knife,,4,Hand,29.93746871335669,9.648086041068725,0.32227460956858395,True,2
22,01091,1,,Overpower,,1,,30.692693484185103,8.9245923322639,0.2907725363648009,True,2
23,08073,1,,Bandages,,9,,29.26362369631268,8.465696702278155,0.2892907860671015,True,2
24,01091,2,,Overpower,,1,,30.692693484185103,8.205814261979429,0.2673539963577196,True,2
25,04017,2,,Survival Knife,,4,Hand,29.93746871335669,6.8495339613081345,0.22879469292780236,True,2
26,08021,2,,"""Get behind me!""",,9,,29.26362369631268,6.587676950536847,0.22511487363634042,True,2
27,03106,1,,Heroic Rescue,,3,,29.523816526249128,6.469349806738351,0.21912308664384772,True,1
28,01020,1,,Machete,,1,Hand,30.692693484185103,6.599518458460534,0.21501920194332377,True,1
29,08073,2,,Bandages,,9,,29.26362369631268,6.0734896942643095,0.20754400607705978,True,2
30,08019,1,,Geared Up,,9,,29.26362369631268,5.856989783781276,0.20014574560426968,True,1
31,02033,1,,Peter Sylvestre,Big Man on Campus,2,Ally,28.99203723353249,5.661502158578315,0.1952778313912402,True,1
32,11020,1,,The Book of War,Sun Tzu's Legacy,12,Hand,11.883184823970044,2.259214786516855,0.19011862728581844,True,1
33,11020,2,,The Book of War,Sun Tzu's Legacy,12,Hand,11.883184823970044,2.259214786516855,0.19011862728581844,False,1
34,02147,1,,Bandolier,,2,Body,28.99203723353249,5.4028875359527735,0.1863576364928139,True,1
35,06111,1,,Daring,,6,,31.778864900423294,5.900839967158259,0.1856844159049765,True,1
