rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,07012,1,,Showmanship,,8,,36.80347111630257,36.80347111630257,1.0,True,1
2,07013,1,,Occult Scraps,,8,,36.80347111630257,36.80347111630257,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,40.209933634388875,31.152252270348527,0.7747402060794769,False,0
4,11068a,1,,The Great Work,Divide and Unite,12,,10.811194761290325,6.6111947612903235,0.6115137972504041,True,1
5,07029,1,,Sword Cane,,8,Hand,36.80347111630257,21.351794325527262,0.580157079696464,True,2
6,01060,1,,Shrivelling,,1,Arcane,40.209933634388875,21.201385068592266,0.527267347948571,True,2
7,01065,1,,Ward of Protection,,1,,40.209933634388875,18.392120709870944,0.45740241396820885,True,2
8,01089,1,,Guts,,1,,40.209933634388875,18.235995296789195,0.4535196566749159,True,2
9,10084,1,,Cat Mask,The Capricious Meddler,11,Mask,21.238050572804127,9.601395442101763,0.4520845926601474,True,1
10,01063,1,,Arcane Initiate,,1,Ally,40.209933634388875,18.092149933779467,0.44994229779843403,True,2
11,01059,1,,Holy Rosary,,1,Accessory,40.209933634388875,17.519040597713925,0.43568936862733487,True,2
12,07029,2,,Sword Cane,,8,Hand,36.80347111630257,14.707067504982335,0.3996108806831444,True,2
13,05032,1,,Deny Existence,,5,,32.879563085381406,12.16820051429189,0.3700840088018687,True,2
14,01060,2,,Shrivelling,,1,Arcane,40.209933634388875,14.777086327161275,0.3674984013035878,True,2
15,04109,1,,Arcane Research,,4,,38.63414619895358,13.954785558892413,0.3612034154198646,True,1
16,01089,2,,Guts,,1,,40.209933634388875,14.236448724914338,0.3540530271539382,True,2
17,03112,1,,David Renfield,Esteemed Eschatologist,3,Ally,35.9969323448081,12.198591872672171,0.33887865098681375,True,1
18,01065,2,,Ward of Protection,,1,,40.209933634388875,13.473393702762856,0.33507624820449744,True,2
19,10084,2,,Cat Mask,The Capricious Meddler,11,Mask,21.238050572804127,7.0370455917525785,0.3313414085548745,False,1
20,07028,1,,Faustian Bargain,,8,,36.80347111630257,12.160763367409082,0.33042435940294546,True,2
21,60408,1,,Clairvoyance,,7,Arcane,34.49551082862011,11.353863624560043,0.329140324402444,True,1
22,08125,1,,In the Thick of It,,9,,33.94831770127552,10.914174339906802,0.321493819986748,True,1
23,05112,1,,Sign Magick,,5,Hand,32.879563085381406,9.941122283557965,0.3023495859036488,True,1
24,01059,2,,Holy Rosary,,1,Accessory,40.209933634388875,11.931149506427237,0.2967214423906266,True,2
25,08059,1,,Down the Rabbit Hole,,9,,33.94831770127552,9.75492711089776,0.2873464068745664,True,1
26,04109,2,,Arcane Research,,4,,38.63414619895358,10.769065423918564,0.27874475000589627,False,1
27,05032,2,,Deny Existence,,5,,32.879563085381406,9.080006017051703,0.27615957041377986,True,2
28,02028,1,,Rite of Seeking,,2,Arcane,33.40590607530349,8.968692038451826,0.26847623944803733,True,1
29,06201,1,,Spectral Razor,,6,,39.98063018263046,10.589533572871074,0.26486659976339455,True,1
30,07032,1,,Promise of Power,,8,,36.80347111630257,9.709609666707687,0.26382320395878883,True,2
31,01063,2,,Arcane Initiate,,1,Ally,40.209933634388875,10.514826041913471,0.2614982192589555,True,2
32,05158,1,,Sixth Sense,,5,Arcane,32.879563085381406,8.496441925566534,0.2584110349490666,True,1
33,07032,2,,Promise of Power,,8,,36.80347111630257,9.502773679399096,0.25820319092645916,True,2
34,07028,2,,Faustian Bargain,,8,,36.80347111630257,9.320888900325771,0.2532611359094595,True,2
35,11053,1,,"""Where's the party?""",,12,,10.811194761290325,2.7305496000000007,0.2525668679817685,True,1
36,04107,1,,Lucky Cigarette Case,,4,Accessory,38.63414619895358,9.568959380440733,0.24768139901846495,False,0
37,60407,1,,Azure Flame,,7,Arcane,34.49551082862011,8.474193364702534,0.2456607587811599,True,1
38,03112,2,,David Renfield,Esteemed Eschatologist,3,Ally,35.9969323448081,8.511201973298673,0.23644242492030737,False,1
39,03033,1,,Uncage the Soul,,3,,35.9969323448081,8.39871433934662,0.23331750213870603,True,1
40,60408,2,,Clairvoyance,,7,Arcane,34.49551082862011,7.957483008715836,0.23068169792440643,False,1
41,60412,1,,Robes of Endless Night,,7,Body,34.49551082862011,7.39294514549655,0.21431615209950153,True,1
42,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,40.209933634388875,8.04602518696576,0.20010043438829583,False,0
43,01088,1,,Emergency Cache,,1,,40.209933634388875,8.026272593152632,0.19960919772044328,False,0
44,09082,1,,Ceremonial Sickle,,10,Hand,26.38879010718984,5.16176326970996,0.1956043929540974,True,1
