rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,04013,1,,The Codex of Ages,finis omnium nunc est,4,Hand,34.13867403859525,34.13867403859525,1.0,True,1
2,04014,1,,Serpents of Yig,,4,,34.13867403859525,34.13867403859525,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,54.739029068961855,43.741212794022914,0.7990863838471894,False,0
4,01059,1,,Holy Rosary,,1,Accessory,54.739029068961855,33.40166450776053,0.610198337016174,True,2
5,01065,1,,Ward of Protection,,1,,54.739029068961855,29.85880586371148,0.5454756208060335,True,2
6,01065,2,,Ward of Protection,,1,,54.739029068961855,27.472425238705426,0.5018800242893393,True,2
7,10084,1,,Cat Mask,The Capricious Meddler,11,Mask,16.854675862955183,8.074439552614637,0.47906228623247576,True,1
8,01089,1,,Guts,,1,,54.739029068961855,25.625387540856888,0.4681374145049826,True,2
9,01088,1,,Emergency Cache,,1,,54.739029068961855,24.4641065589815,0.44692255188086893,True,2
10,01059,2,,Holy Rosary,,1,Accessory,54.739029068961855,23.679583661297425,0.43259049464441873,True,2
11,03033,1,,Uncage the Soul,,3,,52.303967912639,22.579961874131815,0.43170647993372363,True,2
12,01089,2,,Guts,,1,,54.739029068961855,22.723742462822894,0.415128708881461,True,2
13,01060,1,,Shrivelling,,1,Arcane,54.739029068961855,22.408555646342347,0.4093707182513483,True,2
14,04197,1,,Olive McBride,Will Try Anything Once,4,Ally,34.13867403859525,13.674639455067632,0.40056152853528704,True,2
15,03033,2,,Uncage the Soul,,3,,52.303967912639,20.725075275103105,0.3962428875323432,True,2
16,01088,2,,Emergency Cache,,1,,54.739029068961855,19.843630445301347,0.3625133799925781,True,2
17,06201,1,,Spectral Razor,,6,,43.513578973420415,14.90443468150188,0.3425237600107777,True,2
18,01060,2,,Shrivelling,,1,Arcane,54.739029068961855,18.654236702022637,0.34078493936239673,True,2
19,01064,1,,Drawn to the Flame,,1,,54.739029068961855,18.345216243342062,0.3351395988450985,True,1
20,60416,1,,Voice of Ra,,7,,39.5793462289195,13.120983846273937,0.3315108786887139,True,2
21,04197,2,,Olive McBride,Will Try Anything Once,4,Ally,34.13867403859525,11.16902742233983,0.3271664098527307,True,2
22,05158,1,,Sixth Sense,,5,Arcane,46.19511142494391,15.096802998522444,0.3268052080153798,True,2
23,04109,1,,Arcane Research,,4,,34.13867403859525,10.831223228456546,0.31727135085010566,True,1
24,06117,1,,Read the Signs,,6,,43.513578973420415,13.354242134925368,0.3068982706084139,True,2
25,05032,1,,Deny Existence,,5,,46.19511142494391,13.985636523135607,0.3027514403955697,True,1
26,60416,2,,Voice of Ra,,7,,39.5793462289195,11.930065779860005,0.3014214967285904,True,2
27,06201,2,,Spectral Razor,,6,,43.513578973420415,12.987026981511478,0.29845917729369953,True,2
28,06117,2,,Read the Signs,,6,,43.513578973420415,12.394120990186694,0.28483340792899264,True,2
29,01063,1,,Arcane Initiate,,1,Ally,54.739029068961855,14.971218907725037,0.2735017255944356,True,1
30,11095,1,,Ascetic,,12,,10.418887197736238,2.8414723032069973,0.27272320443438314,True,1
31,04109,2,,Arcane Research,,4,,34.13867403859525,8.76757524203882,0.25682237195641217,False,1
32,08059,1,,Down the Rabbit Hole,,9,,34.539539456857625,8.65004431362405,0.2504389013185477,True,1
33,02028,1,,Rite of Seeking,,2,Arcane,52.35349796002441,13.000826779515588,0.24832775814602945,True,1
34,05032,2,,Deny Existence,,5,,46.19511142494391,11.366781380997626,0.24606026547778648,False,1
35,08125,1,,In the Thick of It,,9,,34.539539456857625,8.371636290389615,0.24237834151918536,True,1
36,04030,1,,The Chthonian Stone,Stygian Waymark,4,Hand,34.13867403859525,8.158277591720859,0.23897464741886498,True,1
37,01093,1,,Unexpected Courage,,1,,54.739029068961855,13.03479873375148,0.23812623196750263,False,0
38,01064,2,,Drawn to the Flame,,1,,54.739029068961855,12.982048356897769,0.2371625616622209,False,1
39,01067,1,,Fearless,,1,,54.739029068961855,12.39529418712184,0.2264434426030078,False,0
40,05158,2,,Sixth Sense,,5,Arcane,46.19511142494391,10.129612391176458,0.2192788820876571,True,2
41,01063,2,,Arcane Initiate,,1,Ally,54.739029068961855,11.550931255548454,0.21101819765557492,False,1
42,07034,1,,Keep Faith,,8,,27.33597978415479,5.70563806010392,0.20872264704450702,False,0
43,10084,2,,Cat Mask,The Capricious Meddler,11,Mask,16.854675862955183,3.46401376612616,0.20552241967107182,False,1
44,01093,2,,Unexpected Courage,,1,,54.739029068961855,11.082788172189389,0.20246592533139313,False,0
45,07032,1,,Promise of Power,,8,,27.33597978415479,5.490707792059298,0.20086010581709487,False,0
46,07032,2,,Promise of Power,,8,,27.33597978415479,5.435934045133444,0.19885638224990074,False,0
47,02029,1,,Ritual Candles,,2,Hand,52.35349796002441,10.27572293202541,0.19627576632743143,True,1
48,02028,2,,Rite of Seeking,,2,Arcane,52.35349796002441,10.099477648736038,0.19290931919100612,False,1
49,07034,2,,Keep Faith,,8,,27.33597978415479,5.222790657281288,0.19105920835911142,False,0
