rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,04011,1,,Finn's Trusty .38,Never Leave Home Without It,4,Hand,31.594154714432744,31.594154714432744,1.0,True,1
2,04012,1,,Caught Red-Handed,,4,,31.594154714432744,31.594154714432744,1.0,True,1
3,04010,1,,Smuggled Goods,,4,,31.594154714432744,31.444131036453268,0.995251536895496,True,1
4,01000,1,,Random Basic Weakness,,1,,60.005656188426805,47.85846939236968,0.7975659701493284,False,0
5,01046,1,,Pickpocketing,,1,,60.005656188426805,43.168021498905944,0.7193992073572506,True,2
6,11054,1,,"""You've had worse...""",,12,,8.626913265306122,5.908163265306123,0.6848525171878466,True,2
7,11054,2,,"""You've had worse...""",,12,,8.626913265306122,5.908163265306123,0.6848525171878466,True,2
8,11033,1,,Alton O'Connell,Ghost Hunter,12,Ally,8.626913265306122,5.626913265306123,0.6522510534486583,True,2
9,11033,2,,Alton O'Connell,Ghost Hunter,12,Ally,8.626913265306122,5.626913265306123,0.6522510534486583,True,2
10,10069,1,,Bank Job,,11,,16.16769887701935,10.465875542102202,0.6473324139515192,True,2
11,60305,1,,Lockpicks,,7,Hand,43.45019536860343,22.2126521853157,0.5112209967499084,True,2
12,07025,1,,.25 Automatic,,8,Hand,41.057999520268005,20.218836559804213,0.492445730333825,True,2
13,10069,2,,Bank Job,,11,,16.16769887701935,7.648111249481113,0.4730488431072948,True,2
14,04107,1,,Lucky Cigarette Case,,4,Accessory,31.594154714432744,14.603237180739425,0.462213257886859,True,2
15,01092,1,,Manual Dexterity,,1,,60.005656188426805,27.284000148577157,0.45469047222650616,True,2
16,01052,1,,Sneak Attack,,1,,60.005656188426805,26.677019782711522,0.4445750863708858,True,2
17,01046,2,,Pickpocketing,,1,,60.005656188426805,26.658190022939472,0.44426128662319325,True,2
18,60305,2,,Lockpicks,,7,Hand,43.45019536860343,19.070015795531443,0.43889367202503304,True,2
19,01087,1,,Flashlight,,1,Hand,60.005656188426805,24.776147062012967,0.4128968606594707,True,1
20,07025,2,,.25 Automatic,,8,Hand,41.057999520268005,16.872071493547814,0.41093262435299677,True,2
21,02188,1,,Lone Wolf,,2,,57.72897353734499,23.698819940045038,0.4105186440689825,True,1
22,10067,1,,Fox Mask,The Wise Trickster,11,Mask,16.16769887701935,6.356197155966531,0.39314173305152184,True,1
23,04028,1,,"""You handle this one!""",,4,,31.594154714432744,12.245013376825677,0.38757211539614156,True,2
24,01093,1,,Unexpected Courage,,1,,60.005656188426805,22.839403447462153,0.3806208430709096,True,1
25,09067,1,,"""I'll take that!""",,10,,23.67101432969041,8.848676286874497,0.37381905834832163,True,1
26,01092,2,,Manual Dexterity,,1,,60.005656188426805,22.427898736350446,0.3737630776992666,True,2
27,05036,1,,Track Shoes,,5,,58.0598846164842,21.473387184597502,0.3698489469353999,True,1
28,01052,2,,Sneak Attack,,1,,60.005656188426805,22.17080756398566,0.369478628720699,True,2
29,03233,1,,"""Watch this!""",,3,,57.0650812398718,20.817071162645295,0.36479526025979353,True,1
30,04028,2,,"""You handle this one!""",,4,,31.594154714432744,11.049102725857232,0.34971983981612315,True,2
31,01088,1,,Emergency Cache,,1,,60.005656188426805,20.95719991262649,0.34925374112763174,True,1
32,01087,2,,Flashlight,,1,Hand,60.005656188426805,20.481209572185847,0.3413213165750869,False,1
33,01051,1,,Backstab,,1,,60.005656188426805,20.29499051364631,0.3382179581524279,True,1
34,08125,1,,In the Thick of It,,9,,37.033302361548905,12.442764473044441,0.3359885205906878,True,1
35,09062,1,,Disguise,,10,,23.67101432969041,7.722286006587462,0.3262338444407701,True,1
36,04107,2,,Lucky Cigarette Case,,4,Accessory,31.594154714432744,10.299165870222293,0.32598327011158995,True,2
