rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,11015,1,,Psychic Sensitivity,,12,,0.7331948059697646,0.6928713063856763,0.9450030206764024,False,0
2,11015,2,,Psychic Sensitivity,,12,,0.7331948059697646,0.6928713063856763,0.9450030206764024,False,0
3,11015,3,,Psychic Sensitivity,,12,,0.7331948059697646,0.6928713063856763,0.9450030206764024,False,0
4,11016,1,,Prophecy of the End,,12,,0.7331948059697646,0.6928713063856763,0.9450030206764024,False,0
5,11016,2,,Prophecy of the End,,12,,0.7331948059697646,0.6928713063856763,0.9450030206764024,False,0
6,11016,3,,Prophecy of the End,,12,,0.7331948059697646,0.6928713063856763,0.9450030206764024,False,0
7,02232,1,,Alyssa Graham,Speaker to the Dead,2,Ally,18.55318060532947,15.050593120476528,0.8112136371999306,True,2
8,01000,1,,Random Basic Weakness,,1,,23.60285813226769,19.13362976227664,0.8106488483324346,False,0
9,02232,2,,Alyssa Graham,Speaker to the Dead,2,Ally,18.55318060532947,13.634321721555091,0.7348778633480548,True,2
10,01065,1,,Ward of Protection,,1,,23.60285813226769,17.013844507541556,0.7208383159445325,True,2
11,98020,1,,Ruth Westmacott,Dark Revelations,,Ally,24.507100273112375,17.458555146142036,0.712387632628102,True,1
12,01061,1,,Scrying,,1,Arcane,23.60285813226769,16.748555905116454,0.709598634676338,True,2
13,98021,1,,Liber Omnium Finium,,,,24.507100273112375,17.244905294509987,0.7036697570226207,True,1
14,01065,2,,Ward of Protection,,1,,23.60285813226769,15.419436681714492,0.6532868432842222,True,2
15,01061,2,,Scrying,,1,Arcane,23.60285813226769,15.409864632205863,0.6528812970806654,True,2
16,05116,1,,Scroll of Secrets,,5,Hand,18.701475808293726,10.52512820247171,0.5627966643041096,True,2
17,05032,1,,Deny Existence,,5,,18.701475808293726,10.3138396256331,0.5514987015655268,True,2
18,01060,1,,Shrivelling,,1,Arcane,23.60285813226769,12.46427219350917,0.5280831721167338,True,2
19,03269,1,,St. Hubert's Key,Cleansing Fire,3,Accessory,20.752142250977165,10.85896109503929,0.5232694034047481,True,2
20,05116,2,,Scroll of Secrets,,5,Hand,18.701475808293726,9.455031555754385,0.5055767605015038,True,2
21,01060,2,,Shrivelling,,1,Arcane,23.60285813226769,11.19740738906712,0.4744089604029369,True,2
22,07029,1,,Sword Cane,,8,Hand,19.924342537670004,9.308647844966345,0.4671997496211947,True,1
23,05032,2,,Deny Existence,,5,,18.701475808293726,8.556591807708719,0.45753564560471977,True,2
24,03269,2,,St. Hubert's Key,Cleansing Fire,3,Accessory,20.752142250977165,9.47734602837028,0.4566924182453508,True,2
25,60415,1,,Parallel Fates,,7,,20.942088173782608,8.601120361969064,0.41070977691407123,True,2
26,07032,1,,Promise of Power,,8,,19.924342537670004,7.795130655736516,0.3912365309419186,True,2
27,07032,2,,Promise of Power,,8,,19.924342537670004,7.419794157115334,0.37239844391789,True,2
28,07029,2,,Sword Cane,,8,Hand,19.924342537670004,7.200051691410586,0.36136959991516865,False,1
29,01064,1,,Drawn to the Flame,,1,,23.60285813226769,8.48004296464213,0.35928034296189676,True,2
30,60415,2,,Parallel Fates,,7,,20.942088173782608,6.941605080134044,0.33146671060358907,True,2
31,06201,1,,Spectral Razor,,6,,21.364525975488093,6.855139986779985,0.3208655317063908,True,1
32,06117,1,,Read the Signs,,6,,21.364525975488093,6.776751858652925,0.31719645296263604,True,2
33,01089,1,,Guts,,1,,23.60285813226769,7.469240010314416,0.31645489577820013,True,2
34,11068a,1,,The Great Work,Divide and Unite,12,,0.7331948059697646,0.23039385753959754,0.3142328009741772,True,1
35,08125,1,,In the Thick of It,,9,,13.153897065556142,4.046869484763829,0.30765555368079267,True,1
36,01064,2,,Drawn to the Flame,,1,,23.60285813226769,7.255615094384787,0.3074040886796488,True,2
37,04109,1,,Arcane Research,,4,,22.6861427662327,6.971819004612565,0.3073161919350082,True,1
38,03033,1,,Uncage the Soul,,3,,20.752142250977165,6.132465323062826,0.2955099887470203,True,1
39,01059,1,,Holy Rosary,,1,Accessory,23.60285813226769,6.8195403793905776,0.28892858403735094,False,0
40,01089,2,,Guts,,1,,23.60285813226769,6.631962811962047,0.2809813444963865,True,2
41,06117,2,,Read the Signs,,6,,21.364525975488093,6.001073353267257,0.2808896092594049,True,2
42,10093,1,,Antediluvian Hymn,,11,,5.476645158487601,1.4566192234251927,0.2659692533060594,True,1
43,01039,1,,Deduction,,1,,23.60285813226769,6.159809643595417,0.260977276949959,True,1
44,01090,1,,Perception,,1,,23.60285813226769,5.933875259148309,0.25140494536278435,True,1
