rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,02011,1,,Searching for Izzie,,2,,43.93439520955227,37.671428949115594,0.8574473090942885,True,1
2,02010,1,,Jenny's Twin .45s,A Perfect Fit,2,Hand x2,43.93439520955227,37.43322650456581,0.8520255332074546,True,1
3,01000,1,,Random Basic Weakness,,1,,59.33115592197583,46.738234952518894,0.7877519698753651,False,0
4,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,59.33115592197583,38.08925784963676,0.6419773432313793,True,2
5,02188,1,,Lone Wolf,,2,,43.93439520955227,25.479180917174787,0.5799369900427143,True,2
6,10069,1,,Bank Job,,11,,17.498458918109797,9.237584924427596,0.5279084842647075,True,2
7,01048,2,,Leo De Luca,The Louisiana Lion,1,Ally,59.33115592197583,24.997189130303553,0.42131640184419156,True,2
8,01091,1,,Overpower,,1,,59.33115592197583,22.97554738663244,0.38724253774604894,True,1
9,01088,1,,Emergency Cache,,1,,59.33115592197583,22.330357805286027,0.37636815697054415,True,2
10,01089,1,,Guts,,1,,59.33115592197583,22.100835326308843,0.3724996586173514,True,1
11,60311,1,,Streetwise,,7,,47.141677158466635,17.33526430320411,0.36772693183850164,True,1
12,01093,1,,Unexpected Courage,,1,,59.33115592197583,21.359854228854093,0.36001075483753653,True,2
13,01047,1,,.41 Derringer,,1,Hand,59.33115592197583,21.23231544002421,0.3578611458024858,True,1
14,01090,1,,Perception,,1,,59.33115592197583,20.800598025119328,0.35058474256718364,True,1
15,01049,1,,Hard Knocks,,1,,59.33115592197583,20.625337668466397,0.34763080792813145,True,1
16,05111,1,,Intel Report,,5,,47.71326466020102,16.051713851798564,0.3364203637314248,True,1
17,01087,1,,Flashlight,,1,Hand,59.33115592197583,19.83870191071482,0.33437241534285883,True,2
18,10069,2,,Bank Job,,11,,17.498458918109797,5.8019013726862765,0.3315664196394847,True,2
19,11068a,1,,The Great Work,Divide and Unite,12,,11.580432172869143,3.8157262905162064,0.32949774529622156,True,1
20,04107,1,,Lucky Cigarette Case,,4,Accessory,60.40826111714214,19.75742754099721,0.32706499368826586,True,1
21,02229,1,,Quick Thinking,,2,,43.93439520955227,13.923693242187266,0.3169201072593793,True,1
22,07028,1,,Faustian Bargain,,8,,42.674268707730235,13.413801222332008,0.31432996108735106,True,1
23,01050,1,,Elusive,,1,,59.33115592197583,17.998364953574512,0.3033543620360858,True,1
24,02188,2,,Lone Wolf,,2,,43.93439520955227,12.91767922320527,0.29402201080935086,True,2
25,01093,2,,Unexpected Courage,,1,,59.33115592197583,17.014284771102712,0.28676813230265663,True,2
26,08125,1,,In the Thick of It,,9,,34.10110938578358,9.554363088231403,0.28017748572762047,True,1
27,05028,1,,Well Connected,,5,,47.71326466020102,13.27479919200973,0.27822030805371856,True,1
28,01092,1,,Manual Dexterity,,1,,59.33115592197583,16.43385896636651,0.27698531591021186,True,1
29,03233,1,,"""Watch this!""",,3,,61.072319728989015,16.493662899047017,0.2700677323579379,True,1
30,60305,1,,Lockpicks,,7,Hand,47.141677158466635,12.699933074180404,0.2693992628113253,True,1
31,01088,2,,Emergency Cache,,1,,59.33115592197583,15.883729904719416,0.26771313752267883,True,2
32,01087,2,,Flashlight,,1,Hand,59.33115592197583,15.600969956572227,0.2629473455243056,True,2
33,01051,1,,Backstab,,1,,59.33115592197583,15.25422159654243,0.25710305756730384,True,1
34,01052,1,,Sneak Attack,,1,,59.33115592197583,14.801038175996823,0.24946485444276717,True,1
35,08047,1,,Scout Ahead,,9,,34.10110938578358,8.365949038225844,0.24532776759789307,True,1
