rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,04006,1,,Mitch Brown,Sole Survivor,4,Ally,34.872670724045655,34.68657748907469,0.9946636368506573,True,1
2,04007,1,,Bought in Blood,,4,,34.872670724045655,34.68067716966688,0.9944944407642862,True,1
3,01000,1,,Random Basic Weakness,,1,,50.87620280935138,36.863541218747024,0.7245733601009087,False,0
4,01021,1,,Guard Dog,,1,Ally,50.87620280935138,34.46420843517719,0.6774131427285379,True,2
5,01025,1,,Vicious Blow,,1,,50.87620280935138,33.402483480496535,0.6565443495393279,True,2
6,01018,1,,Beat Cop,,1,Ally,50.87620280935138,31.7682025273299,0.6244216504595483,True,2
7,01025,2,,Vicious Blow,,1,,50.87620280935138,28.639303284779267,0.5629213994625238,True,2
8,01021,2,,Guard Dog,,1,Ally,50.87620280935138,28.324323362813516,0.5567302942979722,True,2
9,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,20.40434913966583,10.233526801626851,0.5015365465263966,True,1
10,01018,2,,Beat Cop,,1,Ally,50.87620280935138,25.380850342021212,0.49887469859201133,True,2
11,01088,1,,Emergency Cache,,1,,50.87620280935138,25.241946280003404,0.4961444621681508,True,2
12,03158,1,,Calling in Favors,,3,,47.20303892422582,21.302128890056462,0.4512872343717611,True,2
13,01091,1,,Overpower,,1,,50.87620280935138,21.225855761293623,0.4172059742908362,True,2
14,08125,1,,In the Thick of It,,9,,27.68841106754951,11.214235341009426,0.4050154887418721,True,1
15,01088,2,,Emergency Cache,,1,,50.87620280935138,18.79252848895908,0.3693775763765311,True,2
16,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,50.87620280935138,18.62504511334603,0.36608559768384724,True,1
17,03158,2,,Calling in Favors,,3,,47.20303892422582,16.899978736712516,0.35802734573597567,True,2
18,01020,1,,Machete,,1,Hand,50.87620280935138,18.135807158677185,0.3564693541819065,True,2
19,01091,2,,Overpower,,1,,50.87620280935138,17.954100016623443,0.35289779946634225,True,2
20,11021,1,,Crowbar,,12,Hand,9.795428395831845,3.401692384270782,0.3472734674593989,True,1
21,02184,1,,Prepared for the Worst,,2,,46.93764079929311,16.227942183606242,0.34573408265228867,True,1
22,01016,1,,.45 Automatic,,1,Hand,50.87620280935138,16.53521722204731,0.3250088707290087,True,1
23,60118,1,,Stand Together,,7,,37.259190267777335,11.73180277495027,0.3148700412068864,True,1
24,10069,1,,Bank Job,,11,,20.40434913966583,5.988910346353906,0.29351146196138794,True,1
25,08083,1,,Medical Student,,9,Ally,27.68841106754951,8.0976357599571,0.29245577654137883,True,1
26,04017,1,,Survival Knife,,4,Hand,34.872670724045655,9.528811117701535,0.27324580881988947,True,1
27,03233,1,,"""Watch this!""",,3,,47.20303892422582,12.684976302826922,0.26873219589081715,True,1
28,07028,1,,Faustian Bargain,,8,,41.71162881603857,11.056254412609539,0.26506407748714644,True,1
29,03228,1,,Inspiring Presence,,3,,47.20303892422582,12.134086684160437,0.2570615570671004,True,1
30,08127,1,,Sled Dog,,9,Ally,27.68841106754951,6.97693807144593,0.251980442446653,False,0
31,08127,2,,Sled Dog,,9,Ally,27.68841106754951,6.97693807144593,0.251980442446653,False,0
32,08127,3,,Sled Dog,,9,Ally,27.68841106754951,6.97693807144593,0.251980442446653,False,0
33,08127,4,,Sled Dog,,9,Ally,27.68841106754951,6.964869904588285,0.25154458620238523,False,0
34,60115,1,,Glory,,7,,37.259190267777335,9.16723614714526,0.24603959670785738,True,1
35,60110,1,,Safeguard,,7,,37.259190267777335,9.156487728953689,0.24575111974111913,True,1
36,02188,1,,Lone Wolf,,2,,46.93764079929311,11.300136500856533,0.24074785840166715,True,1
37,11024,1,,Ready for Anything,,12,,9.795428395831845,2.3337952188126407,0.23825351220021354,False,0
38,01020,2,,Machete,,1,Hand,50.87620280935138,12.00076197793128,0.2358816365069891,True,2
39,04018,1,,Venturer,,4,Ally,34.872670724045655,8.204225248034168,0.23526231509355353,False,0
40,01048,2,,Leo De Luca,The Louisiana Lion,1,Ally,50.87620280935138,11.78372633932846,0.23161568058618032,False,1
41,07028,2,,Faustian Bargain,,8,,41.71162881603857,9.646444128386655,0.23126510285490204,False,1
42,60115,2,,Glory,,7,,37.259190267777335,8.316011070568756,0.22319355334355312,False,1
43,01016,2,,.45 Automatic,,1,Hand,50.87620280935138,11.253290135642658,0.2211896626368159,False,1
44,60118,2,,Stand Together,,7,,37.259190267777335,8.058258612157383,0.2162757310141107,False,1
45,04017,2,,Survival Knife,,4,Hand,34.872670724045655,7.322262645401028,0.2099713756753402,False,1
46,03228,2,,Inspiring Presence,,3,,47.20303892422582,9.760744125575192,0.20678211293226134,False,1
47,01093,1,,Unexpected Courage,,1,,50.87620280935138,10.388696972874664,0.20419560421606686,False,0
48,06111,1,,Daring,,6,,43.45491594455534,8.412402269653093,0.193589196683445,False,0
49,06155,1,,Tetsuo Mori,Too Noble for His Own Good,6,Ally,43.45491594455534,8.403142281654546,0.19337610254214319,False,0
50,04107,1,,Lucky Cigarette Case,,4,Accessory,34.872670724045655,6.726935690259475,0.19289992852830368,True,1
