rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,08015,1,,Burden of Destiny,,9,,0.3064037802432993,0.3064037802432993,1.0,True,4
2,01000,1,,Random Basic Weakness,,1,,0.6304546059942594,0.469363181213792,0.7806947355687648,False,0
3,01065,1,,Ward of Protection,,1,,0.6304546059942594,0.4532235645519331,0.6267133754926555,True,2
4,11068a,1,,The Great Work,Divide and Unite,12,,0.7052638772772651,0.4396915841415912,0.6234426550230536,True,1
5,01059,1,,Holy Rosary,,1,Accessory,0.6304546059942594,0.29606874496087554,0.5789058425592721,True,2
6,01065,2,,Ward of Protection,,1,,0.6304546059942594,0.41313600610436135,0.5698841681008893,True,2
7,08060,1,,Dragon Pole,,9,Hand x2,0.3064037802432993,0.16558038399597422,0.567131870016385,True,2
8,01088,1,,Emergency Cache,,1,,0.6304546059942594,0.4163182976137481,0.5612699242269776,True,2
9,01091,1,,Overpower,,1,,0.6304546059942594,0.3866192236411596,0.5305021852388713,True,2
10,01089,1,,Guts,,1,,0.6304546059942594,0.33178552505015163,0.5231840726445618,True,2
11,06201,1,,Spectral Razor,,6,,0.6295433491449107,0.3193306460976009,0.5070029075187631,True,2
12,06201,2,,Spectral Razor,,6,,0.6295433491449107,0.3044935504535944,0.48493214682906893,True,2
13,01091,2,,Overpower,,1,,0.6304546059942594,0.35706833253292314,0.48114664895679765,True,2
14,08015,2,,Burden of Destiny,,9,,0.3064037802432993,0.14829585158292918,0.47348421068154894,True,4
15,01088,2,,Emergency Cache,,1,,0.6304546059942594,0.3540249781785686,0.47329507166599427,True,2
16,08060,2,,Dragon Pole,,9,Hand x2,0.3064037802432993,0.1328399169723517,0.46130679037839006,True,2
17,02184,1,,Prepared for the Worst,,2,,0.6050780935176039,0.3274786089934301,0.4488188730484562,True,1
18,08125,1,,In the Thick of It,,9,,0.3064037802432993,0.1307686427296828,0.4115795048229849,True,1
19,08013a,1,,Discipline,Prescience of Fate,9,,0.3064037802432993,0.1258073242172247,0.3969574490839388,True,1
20,01059,2,,Holy Rosary,,1,Accessory,0.6304546059942594,0.21536214793017266,0.39255437028822643,True,2
21,08015,3,,Burden of Destiny,,9,,0.3064037802432993,0.11943828139345218,0.38670493747088774,True,4
22,05118,1,,Enchanted Blade,,5,Hand. Arcane,0.5881871340993406,0.2508525956886381,0.38225758695068945,True,2
23,08015,4,,Burden of Destiny,,9,,0.3064037802432993,0.11004880914469767,0.35817298608790765,True,4
24,01093,1,,Unexpected Courage,,1,,0.6304546059942594,0.17177117743266457,0.33835886969657286,True,2
25,01089,2,,Guts,,1,,0.6304546059942594,0.23914462092289493,0.3380770964545546,True,2
26,01025,1,,Vicious Blow,,1,,0.6304546059942594,0.2449925829630944,0.3260597069486921,True,1
27,05032,1,,Deny Existence,,5,,0.5881871340993406,0.1838270964787651,0.3260269767375237,True,1
28,08011a,1,,Discipline,Alignment of Spirit,9,,0.3064037802432993,0.0941575299617317,0.3158338962762229,True,1
29,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,0.869840342316074,0.27196066336201025,0.31399786253685164,True,1
30,05118,2,,Enchanted Blade,,5,Hand. Arcane,0.5881871340993406,0.20037483148662807,0.312263500842039,True,2
31,10084,1,,Cat Mask,The Capricious Meddler,11,Mask,0.869840342316074,0.2544936206757473,0.293934472850686,False,0
32,08116,1,,Talisman of Protection,,9,Arcane,0.3064037802432993,0.08684002057033739,0.2927946980928421,True,1
33,01063,1,,Arcane Initiate,,1,Ally,0.6304546059942594,0.19273498237715864,0.2870868602672604,True,1
34,11071,1,,Spectral Shield,,12,,0.7052638772772651,0.20030096253075355,0.2840085377745894,True,2
35,11071,2,,Spectral Shield,,12,,0.7052638772772651,0.20030096253075355,0.2840085377745894,True,2
36,01093,2,,Unexpected Courage,,1,,0.6304546059942594,0.13433498846381453,0.28236058253288354,True,2
37,01061,1,,Scrying,,1,Arcane,0.6304546059942594,0.2002256080036127,0.27671358972492416,True,1
