rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,06008,1,,Occult Evidence,,6,,24.410528030535275,24.410528030535275,1.0,True,3
2,06009,1,,Shocking Discovery,,6,,24.410528030535275,24.278763294273528,0.9946021349437045,True,1
3,06008,2,,Occult Evidence,,6,,24.410528030535275,22.227162268961266,0.9105563894872399,True,3
4,03231,1,,Eureka!,,3,,43.832215150839666,37.76098747287474,0.8614893712975256,True,2
5,06023,1,,Astounding Revelation,,6,,24.410528030535275,20.33369577843339,0.8329887724263011,True,3
6,06023,2,,Astounding Revelation,,6,,24.410528030535275,20.264140253222617,0.8301393655997151,True,3
7,03231,2,,Eureka!,,3,,43.832215150839666,35.337020119116275,0.8061883251282441,True,2
8,06023,3,,Astounding Revelation,,6,,24.410528030535275,19.58588933676783,0.8023541855492731,True,3
9,01039,1,,Deduction,,1,,55.14745880808156,43.547434034422906,0.7896544097520821,True,2
10,01039,2,,Deduction,,1,,55.14745880808156,41.395296899181396,0.750629272751098,True,2
11,01000,1,,Random Basic Weakness,,1,,55.14745880808156,40.343559456675585,0.7315579054526345,False,0
12,06008,3,,Occult Evidence,,6,,24.410528030535275,16.74539016542857,0.6859904933019746,True,3
13,01090,1,,Perception,,1,,55.14745880808156,34.48059168352488,0.6252435276033415,True,2
14,03026,1,,No Stone Unturned,,3,,43.832215150839666,27.082606987744263,0.6178699135908367,True,2
15,01090,2,,Perception,,1,,55.14745880808156,32.45720795300698,0.5885531020742256,True,2
16,03026,2,,No Stone Unturned,,3,,43.832215150839666,24.564325186859868,0.5604171521408793,True,2
17,01032,1,,Research Librarian,,1,Ally,55.14745880808156,30.19698424434122,0.5475680094241444,True,2
18,01031,1,,Old Book of Lore,,1,Hand,55.14745880808156,27.647485058601706,0.5013374261689483,True,2
19,05153,1,,"Mr. ""Rook""",Dealer in Secrets,5,Ally,45.59026577148547,22.036186464879524,0.48335288448048713,True,2
20,05110,1,,Crack the Case,,5,,45.59026577148547,19.752324464972062,0.43325749764166094,True,2
21,02022,1,,Shortcut,,2,,48.60808053160212,20.596086809398205,0.4237173446091507,True,1
22,05153,2,,"Mr. ""Rook""",Dealer in Secrets,5,Ally,45.59026577148547,19.162261945660475,0.4203147672292262,True,2
23,11096,1,,Short Rest,,12,,11.620408163265308,4.800000000000001,0.4130663856691254,True,3
24,11096,2,,Short Rest,,12,,11.620408163265308,4.800000000000001,0.4130663856691254,True,3
25,11096,3,,Short Rest,,12,,11.620408163265308,4.800000000000001,0.4130663856691254,True,3
26,01032,2,,Research Librarian,,1,Ally,55.14745880808156,22.765659247803864,0.4128142935294723,True,2
27,05110,2,,Crack the Case,,5,,45.59026577148547,18.268905383704976,0.4007194315399517,True,2
28,03158,1,,Calling in Favors,,3,,43.832215150839666,17.474554427081294,0.39866920635761083,True,1
29,06197,1,,Practice Makes Perfect,,6,,24.410528030535275,9.45233875712594,0.38722385461313874,True,1
30,11034,1,,Artistic Inspiration,,12,,11.620408163265308,4.420408163265307,0.3804004214963119,True,1
31,11034,2,,Artistic Inspiration,,12,,11.620408163265308,4.420408163265307,0.3804004214963119,False,1
32,11760a,1,,Plumb the Depths,Compulsive Research,12,,11.620408163265308,4.420408163265307,0.3804004214963119,True,1
33,01031,2,,Old Book of Lore,,1,Hand,55.14745880808156,20.550031077800277,0.37263786078187855,True,2
34,01030,1,,Magnifying Glass,,1,Hand,55.14745880808156,20.286238082390685,0.367854449159457,True,2
35,60213,1,,Whitton Greene,Hunter of Rare Books,7,Ally,45.963047413396914,16.495954154359787,0.3588960063068335,False,0
36,08125,1,,In the Thick of It,,9,,37.61888711327133,13.44355393919965,0.35736181930956123,True,1
37,60214,1,,Burning the Midnight Oil,,7,,45.963047413396914,15.999233052161195,0.3480890400556399,False,0
38,03158,2,,Calling in Favors,,3,,43.832215150839666,15.087047727036929,0.34419998339390145,False,1
39,01089,1,,Guts,,1,,55.14745880808156,18.91138460539757,0.34292395359885935,False,0
40,06197,2,,Practice Makes Perfect,,6,,24.410528030535275,8.288852407361468,0.33956055342157665,False,1
41,04037,1,,Backpack,,4,Body,49.718828568681985,16.12187959870117,0.32426105084978574,False,0
42,05316,1,,Occult Lexicon,,5,Hand,45.59026577148547,14.532737752945502,0.3187684367928172,True,1
43,60213,2,,Whitton Greene,Hunter of Rare Books,7,Ally,45.963047413396914,14.62664194357426,0.3182261135128958,False,0
44,02227,1,,Inquiring Mind,,2,,48.60808053160212,15.423843358545383,0.3173102741326662,False,0
45,02022,2,,Shortcut,,2,,48.60808053160212,15.160218855620581,0.3118868033837357,False,1
46,04021,1,,Dr. Elli Horowitz,Assistant Curator,4,Ally,49.718828568681985,15.25924241863714,0.306910739008219,False,0
47,01088,1,,Emergency Cache,,1,,55.14745880808156,16.699523026160477,0.30281582120177863,False,0
48,01030,2,,Magnifying Glass,,1,Hand,55.14745880808156,16.626307492092742,0.3014881891467363,True,2
49,01033,1,,Dr. Milan Christopher,Professor of Entomology,1,Ally,55.14745880808156,16.331358502078483,0.2961398195864868,False,0
50,01089,2,,Guts,,1,,55.14745880808156,16.20922256202908,0.29392510393704135,False,0
51,60214,2,,Burning the Midnight Oil,,7,,45.963047413396914,13.474963712619857,0.2931695018266411,False,0
52,02107,1,,"""I've got a plan!""",,2,,48.60808053160212,13.804155998749259,0.2839889139373567,False,0
53,02227,2,,Inquiring Mind,,2,,48.60808053160212,13.688441463028463,0.2816083522189082,False,0
54,01088,2,,Emergency Cache,,1,,55.14745880808156,15.150608536341911,0.2747290421679715,False,0
55,04021,2,,Dr. Elli Horowitz,Assistant Curator,4,Ally,49.718828568681985,13.63517264214332,0.2742456537025522,False,0
56,01093,1,,Unexpected Courage,,1,,55.14745880808156,14.96424634039259,0.27134969885864735,False,0
57,60215,1,,Cryptic Writings,,7,,45.963047413396914,11.895942789475193,0.2588153627517714,False,0
58,60215,2,,Cryptic Writings,,7,,45.963047413396914,11.654012505090888,0.2535517804177204,False,0
59,04037,2,,Backpack,,4,Body,49.718828568681985,12.551282702793207,0.25244526196860745,False,0
60,09044,1,,Grim Memoir,,10,Hand,25.75499807810423,6.304286717943781,0.24477915699412958,False,0
61,09044,2,,Grim Memoir,,10,Hand,25.75499807810423,6.304286717943781,0.24477915699412958,False,0
62,09066,1,,Hit and Run,,10,,25.75499807810423,6.136747785798095,0.23827405333861348,False,0
63,09066,2,,Hit and Run,,10,,25.75499807810423,6.136747785798095,0.23827405333861348,False,0
64,09047,1,,Captivating Discovery,,10,,25.75499807810423,6.110844809286991,0.2372683077185769,False,0
65,09047,2,,Captivating Discovery,,10,,25.75499807810423,6.0836940133149024,0.23621411249442073,False,0
66,10050,1,,Transmogrify,,11,,21.710648658664866,5.118762977805796,0.23577199641904126,False,0
67,01093,2,,Unexpected Courage,,1,,55.14745880808156,12.966736357888934,0.23512844722391324,False,0
68,04023,1,,Tooth of Eztli,Mortal Reminder,4,Accessory,49.718828568681985,11.494764766092448,0.23119540618728554,True,1
