rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,06008,1,,Occult Evidence,,6,,1.0,True,3
2,06009,1,,Shocking Discovery,,6,,0.9948919073643571,True,1
3,06008,2,,Occult Evidence,,6,,0.9097615393327074,True,3
4,03231,1,,Eureka!,,3,,0.866880537861936,True,2
5,06023,1,,Astounding Revelation,,6,,0.847840359840307,True,3
6,06023,2,,Astounding Revelation,,6,,0.8451200114655194,True,3
7,06023,3,,Astounding Revelation,,6,,0.8178147732752542,True,3
8,03231,2,,Eureka!,,3,,0.8136271944074706,True,2
9,01039,1,,Deduction,,1,,0.8033073784808238,True,2
10,01039,2,,Deduction,,1,,0.7642382456519731,True,2
11,01000,1,,Random Basic Weakness,,1,,0.7255253773337169,False,0
12,06008,3,,Occult Evidence,,6,,0.6933074759459638,True,3
13,03026,1,,No Stone Unturned,,3,,0.6240562695463842,True,2
14,01090,1,,Perception,,1,,0.6141203619461291,True,2
15,01090,2,,Perception,,1,,0.5782340306199546,True,2
16,03026,2,,No Stone Unturned,,3,,0.5650790933759041,True,2
17,01032,1,,Research Librarian,,1,Ally,0.5240595530357147,True,2
18,01031,1,,Old Book of Lore,,1,Hand,0.5089035035014846,True,2
19,05153,1,,"Mr. ""Rook""",Dealer in Secrets,5,Ally,0.48231802658591977,True,2
20,05110,1,,Crack the Case,,5,,0.4276807802997398,True,2
21,03158,1,,Calling in Favors,,3,,0.42239526806223915,True,1
22,02022,1,,Shortcut,,2,,0.4196288859359475,True,1
23,05153,2,,"Mr. ""Rook""",Dealer in Secrets,5,Ally,0.4194700873998869,True,2
24,11096,1,,Short Rest,,12,,0.4130663856691254,True,3
25,11096,2,,Short Rest,,12,,0.4130663856691254,True,3
26,11096,3,,Short Rest,,12,,0.4130663856691254,True,3
27,06197,1,,Practice Makes Perfect,,6,,0.41060732264885985,True,1
28,05110,2,,Crack the Case,,5,,0.39617183646000975,True,2
29,01032,2,,Research Librarian,,1,Ally,0.38833790958136527,True,2
30,01030,1,,Magnifying Glass,,1,Hand,0.3826074852448514,True,2
31,11034,1,,Artistic Inspiration,,12,,0.380400421496312,True,1
32,11034,2,,Artistic Inspiration,,12,,0.380400421496312,False,1
33,11760a,1,,Plumb the Depths,Compulsive Research,12,,0.380400421496312,False,0
34,01031,2,,Old Book of Lore,,1,Hand,0.36958181343333524,True,2
35,08125,1,,In the Thick of It,,9,,0.3655107486339591,False,0
36,60213,1,,Whitton Greene,Hunter of Rare Books,7,Ally,0.3641386670473602,False,0
37,03158,2,,Calling in Favors,,3,,0.3639536574406152,False,1
38,06197,2,,Practice Makes Perfect,,6,,0.3614246325612873,False,1
39,60214,1,,Burning the Midnight Oil,,7,,0.3486361947089863,False,0
40,60213,2,,Whitton Greene,Hunter of Rare Books,7,Ally,0.32097849696104214,False,0
41,02022,2,,Shortcut,,2,,0.3209333710815242,False,1
42,01089,1,,Guts,,1,,0.3204914842371159,False,0
43,05316,1,,Occult Lexicon,,5,Hand,0.31546441592895746,True,1
44,01030,2,,Magnifying Glass,,1,Hand,0.31218301858143477,True,2
45,02227,1,,Inquiring Mind,,2,,0.31186923411850653,False,0
46,04037,1,,Backpack,,4,Body,0.3066636519143691,False,0
47,01033,1,,Dr. Milan Christopher,Professor of Entomology,1,Ally,0.3015371778352642,False,0
48,60214,2,,Burning the Midnight Oil,,7,,0.29745332760530174,False,0
49,01088,1,,Emergency Cache,,1,,0.2918871373801619,False,0
50,09066,1,,Hit and Run,,10,,0.2856533676935007,False,0
51,09066,2,,Hit and Run,,10,,0.2856533676935007,False,0
52,02107,1,,"""I've got a plan!""",,2,,0.2815090137347939,False,0
53,04021,1,,Dr. Elli Horowitz,Assistant Curator,4,Ally,0.2809910355336776,False,0
54,02227,2,,Inquiring Mind,,2,,0.2765528288548867,False,0
55,01093,1,,Unexpected Courage,,1,,0.2760535590499271,False,0
56,01089,2,,Guts,,1,,0.2729843425545066,False,0
57,01088,2,,Emergency Cache,,1,,0.26368819906666496,False,0
58,60215,1,,Cryptic Writings,,7,,0.25813084254855656,False,0
59,09047,1,,Captivating Discovery,,10,,0.2543406949680676,False,0
60,09044,1,,Grim Memoir,,10,Hand,0.25364239970675573,False,0
61,09044,2,,Grim Memoir,,10,Hand,0.25364239970675573,False,0
62,09047,2,,Captivating Discovery,,10,,0.25343053598018456,False,0
63,60215,2,,Cryptic Writings,,7,,0.2529764514896856,False,0
64,04021,2,,Dr. Elli Horowitz,Assistant Curator,4,Ally,0.24885668474180614,False,0
65,04023,1,,Tooth of Eztli,Mortal Reminder,4,Accessory,0.24640864256838607,True,1
