rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,03007,1,,The Home Front,,3,,56.08953101071113,56.08953101071113,1.0,True,1
2,03008,1,,Shell Shock,,3,,56.08953101071113,56.08953101071113,1.0,True,1
3,03009,1,,Sophie,In Loving Memory,3,,56.08953101071113,56.08953101071113,1.0,True,1
4,01025,1,,Vicious Blow,,1,,51.03527585453112,46.501035036497896,0.9111547700661511,True,2
5,01025,2,,Vicious Blow,,1,,51.03527585453112,43.60207028974596,0.8543516138528874,True,2
6,01000,1,,Random Basic Weakness,,1,,51.03527585453112,40.15955881002818,0.7868980452755336,False,0
7,01088,1,,Emergency Cache,,1,,51.03527585453112,35.092181468467594,0.6876063836412469,True,2
8,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,20.3013312147076,13.801653662175763,0.6798398349452548,True,1
9,01088,2,,Emergency Cache,,1,,51.03527585453112,30.27416995859409,0.5932008684519773,True,2
10,02184,1,,Prepared for the Worst,,2,,47.45489415951337,26.425195794968154,0.5568486931220064,True,1
11,01091,1,,Overpower,,1,,51.03527585453112,25.51934135116264,0.5000333773819884,True,2
12,05313,1,,Hallowed Mirror,,5,Accessory,46.3534906548957,21.442571229485917,0.46258805812764014,True,1
13,01091,2,,Overpower,,1,,51.03527585453112,23.242762802984664,0.45542543689260917,True,2
14,01021,1,,Guard Dog,,1,Ally,51.03527585453112,22.47907333973768,0.4404614840098272,True,2
15,01018,1,,Beat Cop,,1,Ally,51.03527585453112,21.810165803735625,0.42735471570492606,True,1
16,11021,1,,Crowbar,,12,Hand,11.916076266512304,4.708362325170398,0.39512690418089114,True,2
17,04149,1,,Second Wind,,4,,48.747356835260135,18.999036424095685,0.38974495557373945,True,2
18,60118,1,,Stand Together,,7,,39.316737745784046,14.982988845443385,0.3810842329371546,True,2
19,03020,1,,.32 Colt,,3,Hand,56.08953101071113,21.33279276452384,0.38033466103416036,True,2
20,09068,1,,Kicking the Hornet's Nest,,10,,25.528236148746178,9.563961510054826,0.3746424725283874,True,2
21,02022,1,,Shortcut,,2,,47.45489415951337,17.499409149857808,0.36875878578584226,True,2
22,60118,2,,Stand Together,,7,,39.316737745784046,13.981895423164492,0.3556219621670869,True,2
23,01020,1,,Machete,,1,Hand,51.03527585453112,17.945218331612004,0.351623813747227,True,1
24,01021,2,,Guard Dog,,1,Ally,51.03527585453112,17.205679110180437,0.3371330677083593,True,2
25,01016,1,,.45 Automatic,,1,Hand,51.03527585453112,17.118535952334856,0.3354255593940324,True,1
26,02105,1,,Emergency Aid,,2,,47.45489415951337,15.825471176150216,0.3334844899865329,True,2
27,01018,2,,Beat Cop,,1,Ally,51.03527585453112,16.988504564220484,0.3328776866543022,False,1
28,04149,2,,Second Wind,,4,,48.747356835260135,16.20247904980003,0.3323765656578202,True,2
29,09068,2,,Kicking the Hornet's Nest,,10,,25.528236148746178,8.272076954700719,0.32403636923842083,True,2
30,03020,2,,.32 Colt,,3,Hand,56.08953101071113,17.34297625681724,0.3092016628469463,True,2
31,02022,2,,Shortcut,,2,,47.45489415951337,14.378731714679647,0.3029978671187725,True,2
32,60110,1,,Safeguard,,7,,39.316737745784046,11.29472427453446,0.2872752146316005,True,1
33,03022,1,,"""Let me handle this!""",,3,,56.08953101071113,15.686215148166754,0.2796638671336232,True,1
34,02105,2,,Emergency Aid,,2,,47.45489415951337,13.238158307328325,0.278962971929302,True,2
35,11021,2,,Crowbar,,12,Hand,11.916076266512304,3.244717091336333,0.2722974424437805,True,2
