rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,01006,1,,Roland's .38 Special,,1,Hand,0.8635494632441822,True,1
2,01007,1,,Cover Up,,1,,0.8602661632463086,True,1
3,01025,1,,Vicious Blow,,1,,0.848474534155109,True,2
4,01025,2,,Vicious Blow,,1,,0.7128706170645689,True,2
5,01000,1,,Random Basic Weakness,,1,,0.7084558545038376,False,0
6,01088,1,,Emergency Cache,,1,,0.6442935425491318,True,2
7,01016,1,,.45 Automatic,,1,Hand,0.5593830774914385,True,2
8,01091,1,,Overpower,,1,,0.5569882617813795,True,2
9,01088,2,,Emergency Cache,,1,,0.4955744405771568,True,2
10,01020,1,,Machete,,1,Hand,0.49422875811589806,True,2
11,01091,2,,Overpower,,1,,0.46392733806719594,True,2
12,01022,1,,Evidence!,,1,,0.4610881600884231,True,2
13,01018,1,,Beat Cop,,1,Ally,0.4448636071515404,True,2
14,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,0.43371810714034015,True,1
15,01023,1,,Dodge,,1,,0.35363898019017176,True,1
16,02184,1,,Prepared for the Worst,,2,,0.3469137828233394,True,1
17,01037,1,,Working a Hunch,,1,,0.34497410628374625,True,1
18,01039,1,,Deduction,,1,,0.3403846727096354,True,2
19,01016,2,,.45 Automatic,,1,Hand,0.3224882999023153,True,2
20,01087,1,,Flashlight,,1,Hand,0.32196706104937317,True,1
21,01022,2,,Evidence!,,1,,0.31925162043624267,True,2
22,08125,1,,In the Thick of It,,9,,0.3112296217500443,False,0
23,01093,1,,Unexpected Courage,,1,,0.30956037002610737,True,2
24,01021,1,,Guard Dog,,1,Ally,0.29174900504444157,True,1
25,01020,2,,Machete,,1,Hand,0.2896999865410586,True,2
26,01089,1,,Guts,,1,,0.28590872796153977,True,1
27,02022,1,,Shortcut,,2,,0.2707404799554053,True,1
28,04150,1,,Take the Initiative,,4,,0.26815183425065725,True,1
29,01024,1,,Dynamite Blast,,1,,0.26797510061598456,True,1
30,01030,1,,Magnifying Glass,,1,Hand,0.26434709286805624,True,1
31,01039,2,,Deduction,,1,,0.2439854337803768,True,2
32,01090,1,,Perception,,1,,0.2432026134877138,True,1
33,01087,2,,Flashlight,,1,Hand,0.24283634634575244,False,1
34,11021,1,,Crowbar,,12,Hand,0.24196648844591673,False,0
35,01093,2,,Unexpected Courage,,1,,0.24012520138131607,True,2
36,04150,2,,Take the Initiative,,4,,0.23932222803130354,False,1
37,01037,2,,Working a Hunch,,1,,0.2386619444806825,False,1
38,01018,2,,Beat Cop,,1,Ally,0.23777594502168542,True,2
