rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,01006,1,,Roland's .38 Special,,1,Hand,41.37555088749965,41.37555088749965,1.0,True,1
2,01007,1,,Cover Up,,1,,41.37555088749965,41.37555088749965,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,41.37555088749965,35.794618514550464,0.8651152128916961,False,0
4,01025,1,,Vicious Blow,,1,,41.37555088749965,25.794618514550464,0.6234265879549538,True,2
5,01025,2,,Vicious Blow,,1,,41.37555088749965,25.794618514550464,0.6234265879549538,True,2
6,90029,1,,Directive,Leave No Doubt,,,45.166666666666664,26.291666666666668,0.5821033210332104,False,0
7,90028,1,,Directive,Seek the Truth,,,45.166666666666664,24.208333333333336,0.5359778597785979,False,0
8,90026,1,,Directive,Red Tape,,,45.166666666666664,23.739583333333332,0.52559963099631,False,0
9,01064,1,,Drawn to the Flame,,1,,41.37555088749965,19.23964434932627,0.4650003187060631,True,2
10,90025,1,,Directive,Due Diligence,,,45.166666666666664,20.90625,0.4628690036900369,False,0
11,01064,2,,Drawn to the Flame,,1,,41.37555088749965,19.13232488307823,0.46240652928341974,True,2
12,01016,1,,.45 Automatic,,1,Hand,41.37555088749965,18.377522609202682,0.444163816916209,True,2
13,01016,2,,.45 Automatic,,1,Hand,41.37555088749965,18.377522609202682,0.444163816916209,True,2
14,08125,1,,In the Thick of It,,9,,32.112641723356006,13.867913832199546,0.43185216438027285,True,1
15,04103,1,,Scene of the Crime,,4,,38.828114370748295,15.895971513605442,0.40939334220105456,True,2
16,60107,1,,Grete Wagner,The Purifier,7,Ally,34.14959608843538,13.691262755102045,0.40092019594160105,True,2
17,11020,1,,The Book of War,Sun Tzu's Legacy,12,Hand,10.391156462585034,4.0,0.3849427168576105,True,1
18,11023,1,,Primed for Action,,12,,10.391156462585034,4.0,0.3849427168576105,True,2
19,11023,2,,Primed for Action,,12,,10.391156462585034,4.0,0.3849427168576105,True,2
20,01091,1,,Overpower,,1,,41.37555088749965,15.59339577895273,0.3768746383909488,True,1
21,06111,1,,Daring,,6,,38.01621315192744,14.07862811791383,0.3703322069889025,True,1
22,01088,1,,Emergency Cache,,1,,41.37555088749965,14.312221294845276,0.3459101084541517,True,1
23,01018,1,,Beat Cop,,1,Ally,41.37555088749965,14.226578959386709,0.34384023062481645,True,1
24,04150,1,,Take the Initiative,,4,,38.828114370748295,13.142570153061225,0.3384807726579266,True,1
25,10027,1,,Task Force,,11,,17.21581632653061,5.793367346938775,0.33651423999051655,True,2
26,10027,2,,Task Force,,11,,17.21581632653061,5.793367346938775,0.33651423999051655,True,2
27,60107,2,,Grete Wagner,The Purifier,7,Ally,34.14959608843538,11.441262755102041,0.3350336187131823,True,2
28,04103,2,,Scene of the Crime,,4,,38.828114370748295,12.706685799319729,0.3272547741564419,True,2
29,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,17.21581632653061,5.580612244897959,0.3241561212695967,True,1
30,02184,1,,Prepared for the Worst,,2,,39.53771460965338,12.318185131195335,0.3115553150405859,True,1
31,05110,1,,Crack the Case,,5,,34.9122110245197,10.754621738805412,0.3080475691227971,True,2
32,05110,2,,Crack the Case,,5,,34.9122110245197,10.754621738805412,0.3080475691227971,True,2
33,10020,1,,Cleaning Kit,,11,Accessory,17.21581632653061,5.186224489795919,0.30124766618261567,True,1
34,10020,2,,Cleaning Kit,,11,Accessory,17.21581632653061,5.186224489795919,0.30124766618261567,False,1
35,60118,1,,Stand Together,,7,,34.14959608843538,10.266943027210884,0.3006461042942684,True,1
36,05151,1,,Alice Luxley,Fearless Flatfoot,5,Ally,34.9122110245197,9.983979732002691,0.2859738595470421,False,0
37,07023,1,,Deep Knowledge,,8,,34.79268707482993,9.25,0.2658604660256818,True,2
38,07023,2,,Deep Knowledge,,8,,34.79268707482993,9.25,0.2658604660256818,True,2
39,60214,1,,Burning the Midnight Oil,,7,,34.14959608843538,9.031122448979591,0.2644576651973328,True,2
40,60214,2,,Burning the Midnight Oil,,7,,34.14959608843538,9.031122448979591,0.2644576651973328,True,2
