rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,07006,1,,Guardian Angel,,8,,14.94787882305422,14.94787882305422,1.0,True,1
2,07007,1,,Crisis of Faith,,8,,14.94787882305422,14.94787882305422,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,34.73775427137865,29.74526644234499,0.8562806395015841,False,0
4,01059,1,,Holy Rosary,,1,Accessory,34.73775427137865,16.618410362884656,0.47839622081088307,True,2
5,01025,1,,Vicious Blow,,1,,34.73775427137865,15.324837331567414,0.44115797503334725,True,2
6,07018,1,,Blessed Blade,,8,Hand,14.94787882305422,6.177865166511739,0.4132937682759091,True,2
7,02184,1,,Prepared for the Worst,,2,,32.50542787976654,12.877464498023434,0.39616351292638086,True,2
8,07019,1,,Rite of Sanctification,,8,Arcane,14.94787882305422,5.904755845010633,0.395022993891527,True,2
9,01025,2,,Vicious Blow,,1,,34.73775427137865,13.4485614840641,0.3871453916969159,True,2
10,01088,1,,Emergency Cache,,1,,34.73775427137865,13.34460091451338,0.3841526660089351,True,2
11,01059,2,,Holy Rosary,,1,Accessory,34.73775427137865,12.481425549415816,0.35930433072639906,True,2
12,08125,1,,In the Thick of It,,9,,30.30048336151947,10.713649000915279,0.35358013511168046,True,1
13,07019,2,,Rite of Sanctification,,8,Arcane,14.94787882305422,5.151853165501062,0.34465446412071005,True,2
14,01089,1,,Guts,,1,,34.73775427137865,11.942169658118535,0.34378070513205294,True,2
15,01091,1,,Overpower,,1,,34.73775427137865,11.667706453543358,0.33587969914211435,True,2
16,06201,1,,Spectral Razor,,6,,30.536731693971902,9.982572294564386,0.3269037562567639,True,2
17,10019,1,,Ancestral Token,,11,Accessory,15.302740442410025,4.879143686388161,0.3188411712758389,False,0
18,01089,2,,Guts,,1,,34.73775427137865,10.30921876029621,0.2967727470163564,True,2
19,11071,1,,Spectral Shield,,12,,8.745009373721611,2.535323149570462,0.2899165731244385,True,2
20,11071,2,,Spectral Shield,,12,,8.745009373721611,2.535323149570462,0.2899165731244385,True,2
21,06201,2,,Spectral Razor,,6,,30.536731693971902,8.82671220028241,0.289052289182108,True,2
22,07018,2,,Blessed Blade,,8,Hand,14.94787882305422,4.288569087745796,0.2869015154933893,True,2
23,01065,1,,Ward of Protection,,1,,34.73775427137865,9.945876801807405,0.2863131774180945,True,1
24,01091,2,,Overpower,,1,,34.73775427137865,9.920289605722264,0.2855765956608154,True,2
25,11067,1,,Eyes of the Dreamer,,12,Arcane,8.745009373721611,2.4251372193640504,0.2773167089621981,True,1
26,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,15.302740442410025,4.121087304593569,0.26930387534852157,True,1
27,02184,2,,Prepared for the Worst,,2,,32.50542787976654,8.677489364164618,0.2669550881244065,True,2
28,01088,2,,Emergency Cache,,1,,34.73775427137865,9.013615657413531,0.2594760613192571,True,2
29,05032,1,,Deny Existence,,5,,32.70367756907341,8.44843168879045,0.2583327722378171,True,1
30,11068a,1,,The Great Work,Divide and Unite,12,,8.745009373721611,2.2569916855631145,0.25808910992654627,True,1
31,07031,1,,Ward of Radiance,,8,,14.94787882305422,3.7466487867390286,0.25064752203908325,True,1
32,60118,1,,Stand Together,,7,,28.116518481369,6.99437851943614,0.2487640325764679,True,1
33,01065,2,,Ward of Protection,,1,,34.73775427137865,8.41530641705715,0.24225245971040632,False,1
34,01021,1,,Guard Dog,,1,Ally,34.73775427137865,7.957826015373159,0.22908291518228113,True,1
35,07017,1,,Book of Psalms,,8,Hand,14.94787882305422,3.2882118470491575,0.21997849233148217,True,1
36,04197,1,,Olive McBride,Will Try Anything Once,4,Ally,32.32437791572033,7.096018166487794,0.21952528166170163,True,1
37,10019,2,,Ancestral Token,,11,Accessory,15.302740442410025,3.271236170247691,0.21376799682113048,False,0
38,08059,1,,Down the Rabbit Hole,,9,,30.30048336151947,6.431545025541219,0.21225882599975454,False,0
39,01021,2,,Guard Dog,,1,Ally,34.73775427137865,7.304502419988347,0.2102756085763068,False,1
40,04197,2,,Olive McBride,Will Try Anything Once,4,Ally,32.32437791572033,6.488790408469344,0.20073983868730996,False,1
41,60115,1,,Glory,,7,,28.116518481369,5.537348713790554,0.19694290093063258,False,0
42,01018,1,,Beat Cop,,1,Ally,34.73775427137865,6.784969826342296,0.1953197599745995,False,0
43,07031,2,,Ward of Radiance,,8,,14.94787882305422,2.9004460733101918,0.19403730172315908,False,1
44,60416,1,,Voice of Ra,,7,,28.116518481369,5.4453042992948255,0.19366922341053985,False,0
45,06195,1,,.35 Winchester,,6,Hand x2,30.536731693971902,5.882150144718199,0.1926253995898115,True,1
