rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,01010,1,,On the Lam,,1,,0.9684249398236565,True,1
2,01011,1,,Hospital Debts,,1,,0.967904997470682,True,1
3,01000,1,,Random Basic Weakness,,1,,0.7641065350462037,False,0
4,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,0.48964962455732586,True,2
5,01088,1,,Emergency Cache,,1,,0.48403409514728424,True,2
6,01025,1,,Vicious Blow,,1,,0.40571940995298045,True,2
7,01088,2,,Emergency Cache,,1,,0.40212760349956295,True,2
8,02188,1,,Lone Wolf,,2,,0.38509766276970897,True,1
9,01092,1,,Manual Dexterity,,1,,0.3720887315664617,True,2
10,01051,1,,Backstab,,1,,0.35213016688335924,True,2
11,01087,1,,Flashlight,,1,Hand,0.3441076362686047,True,1
12,01052,1,,Sneak Attack,,1,,0.3404832476311385,True,2
13,10067,1,,Fox Mask,The Wise Trickster,11,Mask,0.33836462094071734,True,1
14,11050,1,,Luger P08,,12,Hand,0.33063255523134644,True,2
15,11050,2,,Luger P08,,12,Hand,0.33063255523134644,True,2
16,11054,1,,"""You've had worse...""",,12,,0.33063255523134644,True,1
17,60305,1,,Lockpicks,,7,Hand,0.32469859911965504,True,1
18,03233,1,,"""Watch this!""",,3,,0.31372693055156464,True,2
19,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,0.3083958874275952,False,0
20,01025,2,,Vicious Blow,,1,,0.30825758872387327,True,2
21,01050,1,,Elusive,,1,,0.2870728101970918,True,1
22,01048,2,,Leo De Luca,The Louisiana Lion,1,Ally,0.2837346451132755,True,2
23,01046,1,,Pickpocketing,,1,,0.28366175633034124,True,1
24,01047,1,,.41 Derringer,,1,Hand,0.28229345573333775,True,1
25,09064,1,,Thieves' Kit,,10,Hand,0.2821795352945768,True,1
26,01092,2,,Manual Dexterity,,1,,0.28191053387008286,True,2
27,01087,2,,Flashlight,,1,Hand,0.2723016206867994,False,1
28,01093,1,,Unexpected Courage,,1,,0.26678203258449734,True,1
29,02229,1,,Quick Thinking,,2,,0.2616335752590271,True,2
30,07025,1,,.25 Automatic,,8,Hand,0.25600017193967906,False,0
31,01051,2,,Backstab,,1,,0.25056492998442864,True,2
32,03233,2,,"""Watch this!""",,3,,0.24870542920751765,True,2
33,60305,2,,Lockpicks,,7,Hand,0.24827137747196093,False,1
34,10069,1,,Bank Job,,11,,0.23974067228285356,True,1
35,02229,2,,Quick Thinking,,2,,0.2374036725157753,True,2
36,01052,2,,Sneak Attack,,1,,0.23307157670952408,True,2
37,01091,1,,Overpower,,1,,0.23041853079898694,True,1
