rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,06010,1,,Bounty Contracts,,6,,1.0,True,1
2,06011,1,,Tony's .38 Long Colt,,6,Hand,1.0,True,2
3,06011,2,,Tony's .38 Long Colt,,6,Hand,1.0,True,2
4,06012,1,,Tony's Quarry,,6,,1.0,True,1
5,01000,1,,Random Basic Weakness,,1,,0.7476054495459532,False,0
6,04107,1,,Lucky Cigarette Case,,4,Accessory,0.6468440237336445,True,2
7,10069,1,,Bank Job,,11,,0.5860924320159119,True,2
8,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,0.5755656608778563,True,2
9,01091,1,,Overpower,,1,,0.5399520157986478,True,2
10,01025,1,,Vicious Blow,,1,,0.5295239081978658,True,2
11,01047,1,,.41 Derringer,,1,Hand,0.47809069490824446,True,2
12,01091,2,,Overpower,,1,,0.4648907178300151,True,2
13,01025,2,,Vicious Blow,,1,,0.4644603992935788,True,2
14,04107,2,,Lucky Cigarette Case,,4,Accessory,0.449642284792741,True,2
15,60309,1,,Lonnie Ritter,Feisty Mechanic,7,Ally,0.4473087975828413,True,1
16,01088,1,,Emergency Cache,,1,,0.438578059440125,True,2
17,02229,1,,Quick Thinking,,2,,0.4366666293771142,True,2
18,10069,2,,Bank Job,,11,,0.4116172526271393,True,2
19,09068,1,,Kicking the Hornet's Nest,,10,,0.4016100248270055,True,2
20,02229,2,,Quick Thinking,,2,,0.39389928406796004,True,2
21,01044,1,,Switchblade,,1,Hand,0.39063336400990023,True,1
22,03233,1,,"""Watch this!""",,3,,0.38983742760615997,True,2
23,01048,2,,Leo De Luca,The Louisiana Lion,1,Ally,0.3788388991957136,True,2
24,60306,1,,Mauser C96,,7,Hand,0.3647361857841824,True,1
25,08126,1,,Heavy Furs,,9,Body,0.36160306191343466,True,1
26,08125,1,,In the Thick of It,,9,,0.3571525110040209,False,0
27,07028,1,,Faustian Bargain,,8,,0.34373329583702245,True,1
28,60309,2,,Lonnie Ritter,Feisty Mechanic,7,Ally,0.3332752502029476,False,1
29,01088,2,,Emergency Cache,,1,,0.3327933220304662,True,2
30,03233,2,,"""Watch this!""",,3,,0.3305454985314202,True,2
31,01047,2,,.41 Derringer,,1,Hand,0.3290403275877658,True,2
32,03029,1,,Sleight of Hand,,3,,0.3202351380732121,True,1
33,09068,2,,Kicking the Hornet's Nest,,10,,0.3136345774261958,True,2
34,02188,1,,Lone Wolf,,2,,0.3082548596155554,True,1
35,02109,1,,Contraband,,2,,0.30464453236396954,True,1
36,02184,1,,Prepared for the Worst,,2,,0.2910532343070928,True,1
37,04028,1,,"""You handle this one!""",,4,,0.28718554443985705,True,1
