rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,07010,1,,In the Shadows,,8,,36.935425830915584,36.935425830915584,1.0,True,1
2,07011,1,,Shadow Agents,,8,,36.935425830915584,36.935425830915584,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,35.5641063265707,27.494210680679213,0.7730887549432868,False,0
4,01039,1,,Deduction,,1,,35.5641063265707,24.950562799947598,0.7015658588700849,True,2
5,11053,1,,"""Where's the party?""",,12,,11.211198822108685,6.784701720292635,0.6051718311259526,True,2
6,07114,1,,Breaking and Entering,,8,,36.935425830915584,22.258199790363996,0.6026246967412381,True,2
7,01039,2,,Deduction,,1,,35.5641063265707,20.69871281569924,0.5820113297837822,True,2
8,01090,1,,Perception,,1,,35.5641063265707,19.64856446219115,0.5524830086201629,True,2
9,01030,1,,Magnifying Glass,,1,Hand,35.5641063265707,17.160291760199488,0.48251716499280256,True,2
10,01037,1,,Working a Hunch,,1,,35.5641063265707,16.922039210001454,0.47581792312207316,True,2
11,07114,2,,Breaking and Entering,,8,,36.935425830915584,17.159804515846364,0.46458932392985475,True,2
12,10067,1,,Fox Mask,The Wise Trickster,11,Mask,18.435145188859007,7.939949418422878,0.4306963323088588,True,1
13,11052,1,,String Along,,12,,11.211198822108685,4.8175520647773284,0.42970891349077045,True,1
14,04107,1,,Lucky Cigarette Case,,4,Accessory,35.80322116599802,14.465320751460377,0.40402288622002414,True,2
15,01090,2,,Perception,,1,,35.5641063265707,14.094035990199393,0.3962994559958741,True,2
16,60305,1,,Lockpicks,,7,Hand,36.89100620847216,14.029900768676212,0.3803068067428909,True,2
17,01033,1,,Dr. Milan Christopher,Professor of Entomology,1,Ally,35.5641063265707,13.48753514104146,0.3792457208734818,True,2
18,11053,2,,"""Where's the party?""",,12,,11.211198822108685,3.808993218268345,0.3397489669665783,True,2
19,01046,1,,Pickpocketing,,1,,35.5641063265707,11.852409948600624,0.33326888182609654,True,1
20,01030,2,,Magnifying Glass,,1,Hand,35.5641063265707,11.542934235256078,0.3245669701148123,True,2
21,08125,1,,In the Thick of It,,9,,34.122651256705716,10.569582260639962,0.30975266784297273,True,1
22,01037,2,,Working a Hunch,,1,,35.5641063265707,10.795170893777394,0.30354118263649693,True,2
23,05110,1,,Crack the Case,,5,,37.25786365349455,11.044454156230202,0.2964328351981153,True,2
24,09068,1,,Kicking the Hornet's Nest,,10,,22.869985831988203,6.565308295167868,0.28707093845178444,True,1
25,07027,1,,Obfuscation,,8,Arcane,36.935425830915584,10.195323909437183,0.27603103741404605,True,1
26,01033,2,,Dr. Milan Christopher,Professor of Entomology,1,Ally,35.5641063265707,9.297785408659228,0.261437341438625,True,2
27,60305,2,,Lockpicks,,7,Hand,36.89100620847216,9.593573274415855,0.26005181913993586,True,2
28,07028,1,,Faustian Bargain,,8,,36.935425830915584,8.733292458024705,0.23644759093896217,True,1
29,01092,1,,Manual Dexterity,,1,,35.5641063265707,7.993038124461037,0.22475014698989548,True,1
30,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,35.5641063265707,7.675475673078839,0.21582085045517727,True,1
31,02022,1,,Shortcut,,2,,34.20966285834017,7.3433007716022045,0.21465574805604784,True,1
32,05110,2,,Crack the Case,,5,,37.25786365349455,7.904663114723598,0.2121609330110421,True,2
33,04107,2,,Lucky Cigarette Case,,4,Accessory,35.80322116599802,7.479936480993795,0.20891797546130908,True,2
34,10066,1,,Fake Credentials,,11,Hand,18.435145188859007,3.793022516663631,0.20574953317730774,False,0
35,03191,1,,Logical Reasoning,,3,,36.90702206538209,7.475994078007074,0.20256291783073388,True,1
