rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,03016,1,,Bury Them Deep,,3,,28.93221266319318,28.93221266319318,1.0,True,1
2,03017,1,,Graveyard Ghouls,,3,,28.93221266319318,28.909586269342363,0.9992179514883905,True,1
3,01000,1,,Random Basic Weakness,,1,,48.40664126785663,40.134781283970646,0.8291172498807776,False,0
4,01025,1,,Vicious Blow,,1,,48.40664126785663,35.084917187563015,0.7247955294692257,True,2
5,01025,2,,Vicious Blow,,1,,48.40664126785663,32.29038845026991,0.6670652539512514,True,2
6,01080,1,,Lucky!,,1,,48.40664126785663,27.649445227436143,0.571191152768456,True,2
7,03039,1,,Resourceful,,3,,28.93221266319318,16.479169753296425,0.5695786196905984,True,2
8,08072,1,,Schoffner's Catalogue,,9,,26.67138134623724,14.569911023588945,0.5462750816858027,True,2
9,08071,1,,Short Supply,,9,,26.67138134623724,14.096191073536126,0.5285137237754952,True,1
10,03039,2,,Resourceful,,3,,28.93221266319318,15.1861591533172,0.5248875822289473,True,2
11,03114,1,,Cherished Keepsake,,3,Accessory,28.93221266319318,14.310015998091629,0.49460496384006136,True,2
12,01088,1,,Emergency Cache,,1,,48.40664126785663,23.32596502124386,0.48187530492294156,True,2
13,01080,2,,Lucky!,,1,,48.40664126785663,22.462402377414683,0.46403554944288916,True,2
14,08072,2,,Schoffner's Catalogue,,9,,26.67138134623724,12.092242219737532,0.45337892562671817,True,2
15,01091,1,,Overpower,,1,,48.40664126785663,20.749036857296595,0.4286402921963218,True,2
16,01088,2,,Emergency Cache,,1,,48.40664126785663,19.117596865804288,0.3949374789301672,True,2
17,01072,1,,Leather Coat,,1,Body,48.40664126785663,18.998253566839516,0.3924720465878489,True,1
18,01091,2,,Overpower,,1,,48.40664126785663,18.56400970441311,0.3835012968920885,True,2
19,03114,2,,Cherished Keepsake,,3,Accessory,28.93221266319318,11.024447782511281,0.3810440601570823,True,2
20,01021,1,,Guard Dog,,1,Ally,48.40664126785663,16.586554449804158,0.3426503887766759,True,2
21,05037,1,,Act of Desperation,,5,,42.00986608162262,14.028640392587153,0.33393680344827464,True,2
22,03037,1,,Gravedigger's Shovel,,3,Hand,28.93221266319318,8.817184835075727,0.3047532153077502,True,2
23,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,19.27903295105123,5.7827828183370515,0.2999519132012134,True,1
24,05037,2,,Act of Desperation,,5,,42.00986608162262,12.2069811990968,0.2905741516856868,True,2
25,04201,1,,Take Heart,,4,,45.22778584292439,12.769179935249644,0.28233042359395766,True,1
26,01020,1,,Machete,,1,Hand,48.40664126785663,12.986540397411174,0.2682801379577352,True,1
27,08125,1,,In the Thick of It,,9,,26.67138134623724,7.031282139718422,0.26362647095180863,True,1
28,01079,1,,"""Look what I found!""",,1,,48.40664126785663,12.582736050624774,0.2599382175887519,True,1
29,01021,2,,Guard Dog,,1,Ally,48.40664126785663,12.467359125249251,0.2575547238706671,True,2
30,08073,1,,Bandages,,9,,26.67138134623724,6.609875148046128,0.24782650220621735,True,1
31,01018,1,,Beat Cop,,1,Ally,48.40664126785663,11.933408771945723,0.2465242053443159,True,1
32,02184,1,,Prepared for the Worst,,2,,50.71726271190613,12.10907695060159,0.2387565160877447,False,0
33,60507,1,,Old Keyring,,7,Hand,39.27706411340676,9.12074631823893,0.23221558240463477,True,1
34,04201,2,,Take Heart,,4,,45.22778584292439,10.400391911724531,0.22995580521772566,False,1
35,01072,2,,Leather Coat,,1,Body,48.40664126785663,10.721716386475082,0.22149267343600232,False,1
36,03037,2,,Gravedigger's Shovel,,3,Hand,28.93221266319318,6.337308177417206,0.21903987265652058,True,2
37,01086,1,,Knife,,1,Hand,48.40664126785663,10.55686648666293,0.2180871510635667,True,1
38,11082,1,,Hand Hook,,12,Hand,8.494656043680358,1.8072841108650837,0.21275541959225316,True,1
