rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,10002,1,,Ad Hoc,,11,,13.371456052271604,13.371456052271604,1.0,True,1
2,10003,1,,Hasty Repairs,,11,,13.371456052271604,13.371456052271604,1.0,True,1
3,01088,1,,Emergency Cache,,1,,14.094205098507746,11.672795621126308,0.8281982232798777,True,2
4,10028,1,,Tinker,,11,,13.371456052271604,11.040225804693616,0.8256562158627483,True,2
5,10113,1,,Pushed to the Limit,,11,,13.371456052271604,10.603760077791039,0.7930146153372447,True,2
6,01088,2,,Emergency Cache,,1,,14.094205098507746,9.697026887738657,0.6880151679334757,True,2
7,01000,1,,Random Basic Weakness,,1,,14.094205098507746,9.679667478550334,0.6867834979622361,False,0
8,10028,2,,Tinker,,11,,13.371456052271604,9.152251986028288,0.6844618828533233,True,2
9,09120,1,,Tool Belt,,10,Body,10.930510317123515,6.981130695024165,0.6386829610404985,True,2
10,10113,2,,Pushed to the Limit,,11,,13.371456052271604,7.273810836093352,0.5439804616384798,True,2
11,08074,1,,Jury-Rig,,9,,11.111293133522551,6.0352619066301765,0.5431646734637853,True,2
12,04037,1,,Backpack,,4,Body,13.488234301705234,6.811444602830645,0.5049915689831631,True,1
13,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,13.371456052271604,6.355463768489653,0.47530080072393893,True,1
14,08094,1,,Sledgehammer,,9,Hand x2,11.111293133522551,5.18646227627697,0.46677395816599565,True,2
15,03037,1,,Gravedigger's Shovel,,3,Hand,13.735849353010188,5.7813299381711,0.4208935166360231,True,2
16,03037,2,,Gravedigger's Shovel,,3,Hand,13.735849353010188,5.344373122980551,0.3890821008319621,True,2
17,05024,1,,Fingerprint Kit,,5,Hand,14.731949722374853,5.647598253962224,0.38335714962322087,True,2
18,08074,2,,Jury-Rig,,9,,11.111293133522551,4.169341971727216,0.3752346303553449,True,2
19,11036,1,,Forensic Kit,,12,Hand,11.44607341013825,4.189970552995392,0.3660618277429678,True,1
20,01091,1,,Overpower,,1,,14.094205098507746,5.106486483081877,0.3623110666682818,True,2
21,10020,1,,Cleaning Kit,,11,Accessory,13.371456052271604,4.739528294739136,0.354451173919385,True,1
22,09120,2,,Tool Belt,,10,Body,10.930510317123515,3.8680491770683574,0.3538763575392038,True,2
23,01091,2,,Overpower,,1,,14.094205098507746,4.94282270042955,0.3506989337733479,True,2
24,05313,1,,Hallowed Mirror,,5,Accessory,14.731949722374853,5.066450410039681,0.34390902124413086,True,1
25,08094,2,,Sledgehammer,,9,Hand x2,11.111293133522551,3.753953782954791,0.3378503057964682,True,2
26,11082,1,,Hand Hook,,12,Hand,11.44607341013825,3.8275314285714286,0.33439689677171114,True,1
27,09043,1,,Dissection Tools,,10,Hand,10.930510317123515,3.5947974969950325,0.3288773710193106,True,1
28,08019,1,,Geared Up,,9,,11.111293133522551,3.573316385978183,0.3215932063926527,True,1
29,05024,2,,Fingerprint Kit,,5,Hand,14.731949722374853,4.7306728358563515,0.3211165477079667,True,2
30,08125,1,,In the Thick of It,,9,,11.111293133522551,3.531269543808356,0.31780905258944037,True,1
31,60507,1,,Old Keyring,,7,Hand,13.70990005965696,4.343618129086202,0.31682347137364075,True,1
32,60507,2,,Old Keyring,,7,Hand,13.70990005965696,4.286976670497336,0.31269204384007754,False,1
33,01025,1,,Vicious Blow,,1,,14.094205098507746,4.21695240129572,0.2991976043929004,True,1
34,10020,2,,Cleaning Kit,,11,Accessory,13.371456052271604,3.9534794802097015,0.29566559279369325,False,1
35,10108,1,,Matchbox,,11,,13.371456052271604,3.863703931529232,0.2889516232506967,True,1
36,60118,1,,Stand Together,,7,,13.70990005965696,3.9513398729253764,0.28821069852672904,True,1
37,01025,2,,Vicious Blow,,1,,14.094205098507746,3.921762854704678,0.2782535678525001,False,1
38,60118,2,,Stand Together,,7,,13.70990005965696,3.6629381870834443,0.26717468188277194,False,1
39,04150,1,,Take the Initiative,,4,,13.488234301705234,3.3241958700170833,0.24645152179754365,False,0
40,11024,1,,Ready for Anything,,12,,11.44607341013825,2.8140257142857146,0.2458507484141433,False,0
41,01087,1,,Flashlight,,1,Hand,14.094205098507746,3.4210213642414584,0.24272538538577576,False,0
42,01089,1,,Guts,,1,,14.094205098507746,3.343567317703571,0.23722993204189843,False,0
43,04150,2,,Take the Initiative,,4,,13.488234301705234,3.18503366572547,0.23613421849610117,False,0
44,10110,1,,Pitchfork,,11,Hand x2,13.371456052271604,3.1297862216272385,0.2340647278345978,False,0
45,11021,1,,Crowbar,,12,Hand,11.44607341013825,2.532827695852535,0.22128354459172933,False,0
46,01093,1,,Unexpected Courage,,1,,14.094205098507746,3.072178585579769,0.21797459055743715,False,0
47,09043,2,,Dissection Tools,,10,Hand,10.930510317123515,2.3263756068228076,0.21283321083173537,False,1
48,01087,2,,Flashlight,,1,Hand,14.094205098507746,2.9048690746446457,0.20610378906379082,False,0
49,04037,2,,Backpack,,4,Body,13.488234301705234,2.7588612325408786,0.20453835326630507,False,1
50,11021,2,,Crowbar,,12,Hand,11.44607341013825,2.285714285714286,0.19969418365688066,False,0
51,06155,1,,Tetsuo Mori,Too Noble for His Own Good,6,Ally,15.205814238392255,2.948377317401764,0.19389802289952887,True,1
