rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,02006,1,,Zoey's Cross,Symbol of Righteousness,2,Accessory,16.673834578205653,16.673834578205653,1.0,True,1
2,02007,1,,Smite the Wicked,,2,,16.673834578205653,16.673834578205653,1.0,True,1
3,01025,1,,Vicious Blow,,1,,24.134513113917393,22.669353812786863,0.9392919470049043,True,2
4,01025,2,,Vicious Blow,,1,,24.134513113917393,21.189394922756033,0.8779706813532928,True,2
5,01000,1,,Random Basic Weakness,,1,,24.134513113917393,20.52141002167097,0.8502931020322555,False,0
6,01018,1,,Beat Cop,,1,Ally,24.134513113917393,19.88822761260326,0.824057544427301,True,2
7,11068a,1,,The Great Work,Divide and Unite,12,,6.3950166112956826,5.195016611295682,0.8123538885136891,True,1
8,08125,1,,In the Thick of It,,9,,23.934285117961895,19.127700892254897,0.799175776422091,True,1
9,07018,1,,Blessed Blade,,8,Hand,12.627136781351565,9.639121595832343,0.763365580237312,True,2
10,10019,1,,Ancestral Token,,11,Accessory,15.978920163207766,10.780372950004935,0.6746621699022731,True,2
11,07031,1,,Ward of Radiance,,8,,12.627136781351565,7.3871033149833645,0.5850180799413717,True,2
12,07031,2,,Ward of Radiance,,8,,12.627136781351565,7.3871033149833645,0.5850180799413717,True,2
13,01018,2,,Beat Cop,,1,Ally,24.134513113917393,14.029440198100488,0.5813019774577628,True,2
14,07018,2,,Blessed Blade,,8,Hand,12.627136781351565,6.95503097829993,0.5508003198770678,True,2
15,04037,1,,Backpack,,4,Body,20.554887498353324,10.616665714264565,0.5165032265496504,True,2
16,04037,2,,Backpack,,4,Body,20.554887498353324,10.616665714264565,0.5165032265496504,True,2
17,11072,1,,Whispers of Doom,,12,,6.3950166112956826,2.791836734693878,0.43656442264162143,True,2
18,11072,2,,Whispers of Doom,,12,,6.3950166112956826,2.791836734693878,0.43656442264162143,True,2
19,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,15.978920163207766,6.910567278900518,0.43248024324024303,True,1
20,09028,1,,Motivational Speech,,10,,21.55918741187021,8.742192691029901,0.4054973188004555,True,1
21,10019,2,,Ancestral Token,,11,Accessory,15.978920163207766,6.407340167016743,0.4009870567956121,True,2
22,07034,1,,Keep Faith,,8,,12.627136781351565,4.909054881210088,0.38877023083016293,True,2
23,01091,1,,Overpower,,1,,24.134513113917393,9.168226092869348,0.37988030044751164,True,2
24,60115,1,,Glory,,7,,20.219812915793206,7.672699448641973,0.37946441347382664,True,2
25,11020,1,,The Book of War,Sun Tzu's Legacy,12,Hand,6.3950166112956826,2.403179876601804,0.3757894658720676,True,1
26,11024,1,,Ready for Anything,,12,,6.3950166112956826,2.403179876601804,0.3757894658720676,True,1
27,11067,1,,Eyes of the Dreamer,,12,Arcane,6.3950166112956826,2.403179876601804,0.3757894658720676,True,2
28,11067,2,,Eyes of the Dreamer,,12,Arcane,6.3950166112956826,2.403179876601804,0.3757894658720676,True,2
29,07034,2,,Keep Faith,,8,,12.627136781351565,4.507351753916004,0.35695754563874715,True,2
30,60110,1,,Safeguard,,7,,20.219812915793206,6.833050132694394,0.3379383459753608,True,1
31,01091,2,,Overpower,,1,,24.134513113917393,7.540271313835433,0.3124269082307389,True,2
32,60115,2,,Glory,,7,,20.219812915793206,6.24660300801022,0.3089347579042707,True,2
33,60118,1,,Stand Together,,7,,20.219812915793206,6.068774635140003,0.30013999933697855,True,1
34,03228,1,,Inspiring Presence,,3,,19.119230536364437,5.545959204160166,0.2900723014773973,True,2
35,03228,2,,Inspiring Presence,,3,,19.119230536364437,5.545959204160166,0.2900723014773973,True,2
