Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
2,4,0.669355,0.330645,,,,,,,,,,
3,4,0.552109,0.264268,0.183623,,,,,,,,,
4,17,0.498303,0.116516,0.170532,0.214649,,,,,,,,
5,302,0.371351,0.137974,0.160962,0.175452,0.154262,,,,,,,
6,861,0.312016,0.113287,0.123723,0.116594,0.133293,0.201088,,,,,,
7,320,0.289931,0.092851,0.106676,0.108642,0.098025,0.181975,0.121901,,,,,
8,274,0.23253,0.089149,0.099564,0.120032,0.085958,0.202483,0.074253,0.096031,,,,
9,262,0.229994,0.079307,0.087384,0.108186,0.085696,0.202469,0.076034,0.051473,0.079457,,,
10,278,0.231779,0.074144,0.087234,0.091281,0.06937,0.182413,0.079105,0.036118,0.046512,0.102044,,
11,191,0.215323,0.073086,0.077964,0.095929,0.073861,0.174908,0.066822,0.03187,0.050308,0.055042,0.084885,
12,131,0.206347,0.059237,0.074494,0.098174,0.062511,0.166964,0.060592,0.041045,0.048949,0.056911,0.047668,0.07711
