investigator_name,canonical_front,canonical_back,inv_cycle,deck_count,total_weight,tail_mass,own_era_mass,share_k1,share_k2,share_k3,share_k4,share_k5,share_k6,share_k7,share_k8,share_k9,share_k10,share_k11,share_k12
Roland Banks,01001,01001,1,2686,2.1237110253277223,0.44246450031473716,0.5575354996852628,0.5575354996852628,0.11111357750762106,0.06470288740794977,0.052504631570329384,0.05895898341323006,0.02574477219868001,0.05553916090431828,0.006843260904046177,0.018484171689728556,0.02572288528557053,0.01550463127604074,0.0073455381572226095
Roland Banks,01001,90024,1,25,0.0574743839577562,0.6918475432985819,0.30815245670141816,0.30815245670141816,0.08071859315338654,0.0905492633477312,0.07404850731620065,0.07506507678277896,0.049181769304283224,0.08355422613968619,0.0033025826901608188,0.0519631769779683,0.11641871574782454,0.02876327696467244,0.03828235487388899
Daisy Walker,01002,01002,1,1979,2.176985207692809,0.5366987634891763,0.4633012365108236,0.4633012365108236,0.11985102197729636,0.06942789240356262,0.031388125485850835,0.06563043407190222,0.06556899782073625,0.08056724018329434,0.02215273561170993,0.025099505488599023,0.039653851584233124,0.010062852525011176,0.007296106336980455
Daisy Walker,01002,90001,1,22,0.0628734504345651,0.7572275336503262,0.24277246634967375,0.24277246634967375,0.06435908751345008,0.06865470524209007,0.09296242547336704,0.030148838292186245,0.1458952537908921,0.07555523490957328,0.056725637804865066,0.08608398469532799,0.1163782803174321,0.0,0.020464085611142314
"""Skids"" O'Toole",01003,01003,1,1062,1.0321096939918502,0.5057796157577649,0.49422038424223513,0.49422038424223513,0.10321784787976741,0.08493279946340858,0.08657888417820837,0.05320555245452687,0.02867945714923414,0.056629362573490924,0.019856078529943776,0.022318424028873865,0.0241231867601951,0.02020934206299668,0.006028680677119155
"""Skids"" O'Toole",01003,90008,1,25,0.034000922617819875,0.7112002997094196,0.28879970029058044,0.28879970029058044,0.09373522914960912,0.06326643071590768,0.0985871417906615,0.06651066433483968,0.14721968453002904,0.07062186981493236,0.07510764526735553,0.017552218035096465,0.021436204382996767,0.05716321168799138,0.0
Agnes Baker,01004,01004,1,1530,1.5542141644613272,0.5022662055414615,0.4977337944585385,0.4977337944585385,0.15976800293794569,0.07633258868078992,0.04349875192688561,0.05473370292366032,0.029949272104222577,0.06276203440479598,0.020587420646651224,0.02093842154840514,0.0128100691783365,0.009363471238033444,0.011522469951735089
Agnes Baker,01004,90017,1,10,0.016961581822287047,0.7444269419626781,0.2555730580373219,0.2555730580373219,0.11527947388925872,0.08057033359440542,0.08204942984972949,0.1211080707517543,0.06981448346080592,0.07683972887545434,0.18204709959637713,0.01671832194489284,0.0,0.0,0.0
Wendy Adams,01005,01005,1,902,1.0452152672909887,0.629833800476006,0.3701661995239939,0.3701661995239939,0.10676736131262735,0.100003558515181,0.0955929056853707,0.04711303893465359,0.046694679876517126,0.05958130415396693,0.024889926270792177,0.04690173211020175,0.0358152702068146,0.04307881804216173,0.02339520536771911
Wendy Adams,01005,90037,1,4,0.01577088772583232,0.8673809273864972,0.13261907261350295,0.13261907261350295,0.046309073412816426,0.015608780721244908,0.10087054166137463,0.033623513887124874,0.015608780721244908,0.07903657834970267,0.46562151436567695,0.03902195180311227,0.020937954361433326,0.05074223810276619,0.0
Zoey Samaras,02001,02001,2,2601,2.5438443353319347,0.3968891393309326,0.6031108606690675,0.4633369680451146,0.13977389262395287,0.06630935213575659,0.06254370733712104,0.055376749282152055,0.03069347252857081,0.07694186940482291,0.021470483884670166,0.03608243626113162,0.025141030752260964,0.014294724053003326,0.008035313691443136
Zoey Samaras,02001,90059,2,1,0.013761321168069825,0.65625,0.34375,0.28125,0.0625,0.0625,0.0,0.03125,0.0,0.125,0.0,0.125,0.18749999999999997,0.0625,0.0625
Rex Murphy,02002,02002,2,1243,1.1641508119828623,0.3164526410319645,0.6835473589680354,0.4504624404340486,0.23308491853398686,0.08282424409258313,0.03793676260058203,0.057094399942832684,0.015119789890711255,0.051102688607881634,0.014843068120300819,0.01570904267974663,0.024318155692259508,0.013370929603875446,0.004133559801191381
Jenny Barnes,02003,02003,2,2278,1.6424323859409848,0.3709890064682016,0.6290109935317983,0.46439316757656646,0.1646178259552319,0.08813462869231892,0.05331575952522131,0.08636623490971912,0.01752079645044029,0.03662475202058224,0.02042628788437711,0.026869963981576934,0.020461189351705947,0.017103764540485934,0.004165629111773819
Jenny Barnes,02003,90084,2,2,0.006462192135595625,0.8666666666666666,0.13333333333333333,0.1,0.03333333333333333,0.2666666666666666,0.05,0.11666666666666667,0.016666666666666666,0.11666666666666667,0.19999999999999998,0.0,0.03333333333333333,0.06666666666666667,0.0
Jim Culver,02004,02004,2,996,0.9467944247929122,0.4818207455873813,0.5181792544126187,0.35998684149092375,0.15819241292169497,0.08432767001821095,0.12087740170135589,0.07580066393024547,0.04528311165899402,0.05641939069866192,0.025747001191766858,0.023190778113235326,0.02196193408993936,0.01543274841177811,0.012780045773193409
Jim Culver,02004,90049,2,2,0.009554372039189882,0.6479358593761059,0.35206414062389413,0.31352305545259435,0.03854108517129976,0.10858517126217251,0.09981562898304697,0.03854108517129976,0.08054508639739708,0.03854108517129976,0.1409539011954449,0.08054508639739708,0.02013627159934927,0.04027254319869854,0.0
"""Ashcan"" Pete",02005,02005,2,1010,1.2228299732792143,0.5376558396772447,0.46234416032275527,0.3327807186698607,0.12956344165289457,0.16455339083000234,0.09363906346083885,0.037455282787897004,0.0644311248910966,0.03804136633804764,0.014608203735996863,0.05522833260058713,0.02742725085168108,0.026071749600888396,0.016200074580208838
"""Ashcan"" Pete",02005,90046,2,1,0.0053330357141869325,0.5,0.5,0.5,0.0,0.03333333333333333,0.0,0.13333333333333333,0.1,0.1,0.0,0.03333333333333333,0.1,0.0,0.0
Mark Harrigan,03001,03001,3,1591,1.8981192946903946,0.3739955186522388,0.6260044813477612,0.36896570112959415,0.14323869589170798,0.11380008432645909,0.09199586661623708,0.07515484852171717,0.039859120883021244,0.06488270598124797,0.006629311710821446,0.02840594167317776,0.04022292641508171,0.01788916772240463,0.008955629128529758
Minh Thi Phan,03002,03002,3,526,0.7272818511463133,0.37665964080504244,0.6233403591949576,0.3308924628153558,0.1719325139412823,0.12051538243831944,0.05544473903976611,0.06416291321399505,0.06961401607969815,0.0496592145567483,0.030187948630004763,0.030377347604771756,0.0301902378299545,0.02235216027997804,0.024671063570125766
Sefina Rousseau,03003,03003,3,1070,1.2449356312455968,0.40363521202146435,0.5963647879785356,0.34122410756971633,0.11578291908386934,0.13935776132495,0.05127618035739758,0.09368374453387968,0.07955803023253259,0.050639910033165265,0.0355063972357948,0.03280475546981424,0.034001500172568706,0.020774199358010108,0.005390494628301369
Akachi Onyele,03004,03004,3,1106,1.6006054412755815,0.39142787525047806,0.608572124749522,0.33895025426936737,0.11236193634567,0.15725993413448464,0.06493441916580207,0.06376825111239522,0.03899836046762049,0.09051700041330718,0.022542677414390876,0.060963564563267944,0.022603000453008316,0.009998768787358586,0.017101832873327363
