Investigator,Slot,Mean
Parallel Rex Murphy,Accessory,1.0
Parallel Rex Murphy,Ally,3.0
Parallel Rex Murphy,Arcane,0.9090909090909091
Parallel Rex Murphy,Body,0.2727272727272727
Parallel Rex Murphy,Hand,3.727272727272727
Parallel Rex Murphy,Tarot,0.09090909090909091
Dexter Drake,Accessory,1.877197276579472
Dexter Drake,Ally,2.8999034935161028
Dexter Drake,Arcane,5.996058596978414
Dexter Drake,Body,0.9453932277547471
Dexter Drake,Hand,4.275669192425992
Dexter Drake,Tarot,0.2690908919681178
Parallel Wendy Adams,Accessory,2.0218625901966982
Parallel Wendy Adams,Ally,1.7607216301214326
Parallel Wendy Adams,Arcane,1.9088798154037794
Parallel Wendy Adams,Body,0.7714096770189479
Parallel Wendy Adams,Hand,2.256477668396585
Parallel Wendy Adams,Tarot,0.0
Vincent Lee,Accessory,1.2940572488368673
Vincent Lee,Ally,2.4073466064805205
Vincent Lee,Arcane,0.5521217669723135
Vincent Lee,Body,1.3685061740601792
Vincent Lee,Hand,6.104969406504108
Vincent Lee,Tarot,0.08920706928089195
Charlie Kane,Accessory,0.9547126956332473
Charlie Kane,Ally,11.002387471629282
Charlie Kane,Arcane,0.8215068239632932
Charlie Kane,Body,0.4306582097406286
Charlie Kane,Hand,3.177736356912537
Charlie Kane,Tarot,0.03038766524238108
"""Ashcan"" Pete",Accessory,1.627269689227015
"""Ashcan"" Pete",Ally,2.4654291669816204
"""Ashcan"" Pete",Arcane,0.44131942205119257
"""Ashcan"" Pete",Body,0.6935812556492092
"""Ashcan"" Pete",Hand,4.137319620855786
"""Ashcan"" Pete",Tarot,0.026934955588140262
Sefina Rousseau,Accessory,1.600206921922516
Sefina Rousseau,Ally,1.9082174457778338
Sefina Rousseau,Arcane,1.699522040012102
Sefina Rousseau,Body,0.9276952293563389
Sefina Rousseau,Hand,2.6056939567183113
Sefina Rousseau,Tarot,0.2975961896759991
Trish Scarborough,Accessory,1.442694459025062
Trish Scarborough,Ally,2.3046663785228843
Trish Scarborough,Arcane,1.036645336614296
Trish Scarborough,Body,0.5338409633304615
Trish Scarborough,Hand,3.756819555007031
Trish Scarborough,Tarot,0.08153704668838413
Calvin Wright,Accessory,1.5799118217929942
Calvin Wright,Ally,2.6574976415817515
Calvin Wright,Arcane,1.3649362704443933
Calvin Wright,Body,0.7878901192933366
Calvin Wright,Hand,4.143142751799797
Calvin Wright,Tarot,0.6171733341423619
Amina Zidane,Accessory,1.897698837511954
Amina Zidane,Ally,3.1717168862338134
Amina Zidane,Arcane,3.756664117785417
Amina Zidane,Body,1.432597123937035
Amina Zidane,Hand,5.616010247163273
Amina Zidane,Tarot,0.13518660123032342
Rita Young,Accessory,0.8102523799596149
Rita Young,Ally,1.9859289039885082
Rita Young,Arcane,0.5482581631689584
Rita Young,Body,0.8089541497847511
Rita Young,Hand,3.7419440592050117
Rita Young,Tarot,0.007496445898557283
Agnes Baker,Accessory,2.566255298065764
Agnes Baker,Ally,2.503458772646275
Agnes Baker,Arcane,5.257260796889685
Agnes Baker,Body,0.857819526226253
Agnes Baker,Hand,2.8403444206214354
Agnes Baker,Tarot,0.09477397217417476
Minh Thi Phan,Accessory,1.328113478353912
Minh Thi Phan,Ally,1.999298978326465
Minh Thi Phan,Arcane,0.8841288348160735
Minh Thi Phan,Body,0.08582977066457881
