Investigator,Slot,Mean
Norman Withers,Accessory,1.2376717293507118
Norman Withers,Ally,3.309396154568289
Norman Withers,Arcane,2.0290084282255347
Norman Withers,Body,0.6048181767929591
Norman Withers,Hand,4.6300163029223445
Norman Withers,Tarot,0.004461201358783296
Tommy Muldoon,Accessory,1.9647364409259258
Tommy Muldoon,Ally,4.475639319246977
Tommy Muldoon,Arcane,0.45612691063615807
Tommy Muldoon,Body,1.5860936095021283
Tommy Muldoon,Hand,6.5669529045371
Tommy Muldoon,Tarot,0.028907143047560646
Preston Fairmont,Accessory,1.063782771490112
Preston Fairmont,Ally,2.117496679725818
Preston Fairmont,Arcane,0.22243760553748854
Preston Fairmont,Body,0.4688083467673234
Preston Fairmont,Hand,2.549543756843962
Preston Fairmont,Tarot,0.01373263761166636
Monterey Jack,Accessory,1.073515295987828
Monterey Jack,Ally,2.0564623549537386
Monterey Jack,Arcane,0.1428611122986555
Monterey Jack,Body,0.6050785001573824
Monterey Jack,Hand,4.491494680419873
Monterey Jack,Tarot,0.0056908301645372285
Rita Young,Accessory,1.0204458189382468
Rita Young,Ally,1.9390746714031757
Rita Young,Arcane,0.32293597865608686
Rita Young,Body,0.91708846746832
Rita Young,Hand,3.4010072888062735
Rita Young,Tarot,0.0043431930792543075
Agatha Crane,Accessory,1.6666666666666672
Agatha Crane,Ally,2.722222222222223
Agatha Crane,Arcane,4.555555555555557
Agatha Crane,Body,0.2777777777777779
Agatha Crane,Hand,4.333333333333336
Agatha Crane,Tarot,0.0
Lola Hayes,Accessory,1.638467449428277
Lola Hayes,Ally,2.9799228101881665
Lola Hayes,Arcane,1.6002754647762718
Lola Hayes,Body,1.2442303311630079
Lola Hayes,Hand,6.538928357327496
Lola Hayes,Tarot,0.0
Daisy Walker,Accessory,0.9090464130511259
Daisy Walker,Ally,3.489361629114371
Daisy Walker,Arcane,1.2418965919243505
Daisy Walker,Body,0.3714051804365766
Daisy Walker,Hand,7.801530112970309
Daisy Walker,Tarot,0.04149554287660637
Hank Samson,Accessory,1.6874608042650874
Hank Samson,Ally,1.9431746916845614
Hank Samson,Arcane,0.34095184989263205
Hank Samson,Body,1.568253083154387
Hank Samson,Hand,9.193331474624214
Hank Samson,Tarot,0.02841265415771934
Vincent Lee,Accessory,1.4258747271144054
Vincent Lee,Ally,2.475975526049885
Vincent Lee,Arcane,0.6079862269855325
Vincent Lee,Body,1.0925705959476841
Vincent Lee,Hand,6.530188963943124
Vincent Lee,Tarot,0.04491625937666649
Wendy Adams,Accessory,2.0381910106697
Wendy Adams,Ally,2.077417648798656
Wendy Adams,Arcane,0.2544376737601365
Wendy Adams,Body,0.7452838351693365
Wendy Adams,Hand,4.304559652915067
Wendy Adams,Tarot,0.09211890951938136
Sister Mary,Accessory,1.8235576731883487
Sister Mary,Ally,2.147399689947813
Sister Mary,Arcane,3.296495049184719
Sister Mary,Body,0.8516443108832996
Sister Mary,Hand,5.422505296478818
Sister Mary,Tarot,0.048970503355909
Winifred Habbamock,Accessory,1.6723019174133074
Winifred Habbamock,Ally,1.5314060065611486
Winifred Habbamock,Arcane,0.1824045393618136
Winifred Habbamock,Body,0.8659827536319398
Winifred Habbamock,Hand,4.0355943295606815
Winifred Habbamock,Tarot,0.0
Kōhaku Narukami,Accessory,1.8744470719279767
Kōhaku Narukami,Ally,1.6606518610898704
Kōhaku Narukami,Arcane,3.5828289577469663
Kōhaku Narukami,Body,0.5720023077087332
Kōhaku Narukami,Hand,3.6971479651657018
Kōhaku Narukami,Tarot,0.0
"""Ashcan"" Pete",Accessory,1.550551429994917
"""Ashcan"" Pete",Ally,2.044333150236366
"""Ashcan"" Pete",Arcane,0.48116694251827047
"""Ashcan"" Pete",Body,0.6295470020989479
"""Ashcan"" Pete",Hand,3.748534131196923
"""Ashcan"" Pete",Tarot,0.000691760413295765
Gloria Goldberg,Accessory,1.7049749806432526
Gloria Goldberg,Ally,2.2956366726295983
Gloria Goldberg,Arcane,5.644288332662507
Gloria Goldberg,Body,0.43538954453790124
Gloria Goldberg,Hand,2.827539850008018
Gloria Goldberg,Tarot,0.03533824118779069
George Barnaby,Accessory,2.000000000000001
George Barnaby,Ally,2.939393939393939
George Barnaby,Arcane,0.39393939393939387
George Barnaby,Body,0.2424242424242424
George Barnaby,Hand,5.787878787878789
George Barnaby,Tarot,0.0
Luke Robinson,Accessory,1.5041410856987782
Luke Robinson,Ally,2.3204955757989087
Luke Robinson,Arcane,2.834139923062071
Luke Robinson,Body,0.5399166395177939
Luke Robinson,Hand,3.03801423270396
Luke Robinson,Tarot,0.046719589133906225
Stella Clark,Accessory,1.8607966617389786
Stella Clark,Ally,2.3957011534159562
Stella Clark,Arcane,0.0
Stella Clark,Body,0.15714547547856625
Stella Clark,Hand,5.394460472848735
Stella Clark,Tarot,0.0
Parallel Daisy Walker,Accessory,1.022980804001671
Parallel Daisy Walker,Ally,2.9082971824809993
Parallel Daisy Walker,Arcane,1.2587882200405291
Parallel Daisy Walker,Body,1.573557327174099
Parallel Daisy Walker,Hand,8.313085584188292
Parallel Daisy Walker,Tarot,0.0
Diana Stanley,Accessory,1.8162098671215543
Diana Stanley,Ally,2.4820822317433673
Diana Stanley,Arcane,4.979828145330844
Diana Stanley,Body,0.856966715056617
Diana Stanley,Hand,4.392994870891128
Diana Stanley,Tarot,0.07335422867542618
Bob Jenkins,Accessory,1.6341367259720918
Bob Jenkins,Ally,1.9289189961672792
Bob Jenkins,Arcane,0.5224538357749886
Bob Jenkins,Body,2.071039080268591
Bob Jenkins,Hand,5.110874047855627
Bob Jenkins,Tarot,0.0
Subject 5U-21,Accessory,2.367491851814112
Subject 5U-21,Ally,3.483667991858623
Subject 5U-21,Arcane,2.776384831039008
Subject 5U-21,Body,1.6102924481442114
Subject 5U-21,Hand,8.41573671687113
Subject 5U-21,Tarot,0.0
Jenny Barnes,Accessory,0.9161467647504865
Jenny Barnes,Ally,2.0371645656833794
Jenny Barnes,Arcane,0.19306498871074404
Jenny Barnes,Body,0.8656418507266544
Jenny Barnes,Hand,5.779526082877131
Jenny Barnes,Tarot,0.02629278590068194
Finn Edwards,Accessory,1.195090822324813
Finn Edwards,Ally,2.023575772365264
Finn Edwards,Arcane,0.08142346910346619
Finn Edwards,Body,0.7668124322589839
Finn Edwards,Hand,5.523615320325414
Finn Edwards,Tarot,0.02903642191615102
Michael McGlen,Accessory,1.6304347826086951
Michael McGlen,Ally,2.2608695652173907
Michael McGlen,Arcane,0.10869565217391297
Michael McGlen,Body,1.2391304347826075
Michael McGlen,Hand,8.34782608695652
Michael McGlen,Tarot,0.0
Parallel Jenny Barnes,Accessory,0.875
Parallel Jenny Barnes,Ally,1.25
Parallel Jenny Barnes,Arcane,0.0
Parallel Jenny Barnes,Body,0.125
Parallel Jenny Barnes,Hand,5.25
Parallel Jenny Barnes,Tarot,0.0
Amanda Sharpe,Accessory,0.6183949110670438
Amanda Sharpe,Ally,2.736032783881474
Amanda Sharpe,Arcane,1.0014342905206501
Amanda Sharpe,Body,0.052685340733469366
Amanda Sharpe,Hand,3.7237383620689695
Amanda Sharpe,Tarot,0.003707004973820031
Mandy Thompson,Accessory,1.8241499206745493
Mandy Thompson,Ally,4.449802028058916
Mandy Thompson,Arcane,0.8062034438597097
Mandy Thompson,Body,0.8709306552539564
Mandy Thompson,Hand,5.862639989079954
Mandy Thompson,Tarot,0.0010381548418798114
Father Mateo,Accessory,2.73005023824076
Father Mateo,Ally,1.5481758797650553
Father Mateo,Arcane,8.204649143699159
Father Mateo,Body,1.3799136283999511
Father Mateo,Hand,4.833819261799336
Father Mateo,Tarot,0.0
Patrice Hathaway,Accessory,1.8574494747935506
Patrice Hathaway,Ally,1.978510207344247
Patrice Hathaway,Arcane,2.954015155608604
Patrice Hathaway,Body,0.7396803270686065
Patrice Hathaway,Hand,4.325356585033565
Patrice Hathaway,Tarot,0.02160808119146094
"""Skids"" O'Toole",Accessory,0.8906712097065459
"""Skids"" O'Toole",Ally,2.175310244526659
"""Skids"" O'Toole",Arcane,0.2079439559879625
"""Skids"" O'Toole",Body,0.704743722293981
"""Skids"" O'Toole",Hand,5.551828390546465
"""Skids"" O'Toole",Tarot,0.0
Parallel Rex Murphy,Accessory,1.0
Parallel Rex Murphy,Ally,3.5
Parallel Rex Murphy,Arcane,0.3333333333333333
Parallel Rex Murphy,Body,0.3333333333333333
Parallel Rex Murphy,Hand,3.6666666666666665
Parallel Rex Murphy,Tarot,0.0
Jim Culver,Accessory,1.9113139502593528
Jim Culver,Ally,2.3823275992839967
Jim Culver,Arcane,4.502091737482572
Jim Culver,Body,1.1931359104480117
Jim Culver,Hand,4.729030275646227
Jim Culver,Tarot,0.1346072539397482
Agnes Baker,Accessory,2.571683324343518
Agnes Baker,Ally,2.5635997942026667
Agnes Baker,Arcane,5.180773593941745
Agnes Baker,Body,0.9470335462123812
Agnes Baker,Hand,2.5285692288691446
Agnes Baker,Tarot,0.003411758444702477
Dexter Drake,Accessory,1.844350205608137
Dexter Drake,Ally,2.6920802614666375
Dexter Drake,Arcane,6.007288222767852
Dexter Drake,Body,0.9986642606673957
Dexter Drake,Hand,4.3273420559501625
Dexter Drake,Tarot,0.031807061473522524
Jacqueline Fine,Accessory,1.8519111297997384
Jacqueline Fine,Ally,2.271969445419736
Jacqueline Fine,Arcane,5.692430871520616
Jacqueline Fine,Body,1.1429193754474027
Jacqueline Fine,Hand,3.0294235537561067
Jacqueline Fine,Tarot,0.0789622157169848
Calvin Wright,Accessory,1.4776012296270833
Calvin Wright,Ally,2.6349489272196576
Calvin Wright,Arcane,1.074433171998131
Calvin Wright,Body,0.9558038781196205
Calvin Wright,Hand,3.3418059653792795
Calvin Wright,Tarot,0.34738152138188333
Amina Zidane,Accessory,2.0604306130096304
Amina Zidane,Ally,2.325297059972452
Amina Zidane,Arcane,4.117973679647388
